"Date","Price","Open","High","Low","Vol.","Change %"
"17-01-2025","1,239.50","1,245.60","1,245.60","1,229.10","236.06K","-0.49%"
"16-01-2025","1,245.60","1,250.00","1,263.90","1,225.00","352.27K","2.00%"
"15-01-2025","1,221.15","1,265.00","1,267.90","1,215.05","399.62K","-2.83%"
"14-01-2025","1,256.70","1,228.00","1,264.90","1,225.00","275.91K","3.69%"
"13-01-2025","1,211.95","1,206.00","1,249.80","1,200.00","650.32K","-1.91%"
"10-01-2025","1,235.55","1,293.20","1,294.40","1,230.00","587.20K","-4.09%"
"09-01-2025","1,288.30","1,318.55","1,319.75","1,285.10","411.81K","-2.29%"
"08-01-2025","1,318.55","1,329.00","1,329.00","1,310.90","335.94K","-0.59%"
"07-01-2025","1,326.35","1,318.00","1,337.40","1,316.50","322.68K","1.34%"
"06-01-2025","1,308.85","1,351.00","1,357.30","1,305.10","640.43K","-4.24%"
"03-01-2025","1,366.75","1,388.00","1,393.00","1,365.00","378.19K","-1.41%"
"02-01-2025","1,386.25","1,402.00","1,420.00","1,381.15","482.35K","-0.79%"
"01-01-2025","1,397.30","1,389.80","1,404.80","1,382.10","395.00K","0.72%"
"31-12-2024","1,387.30","1,398.00","1,405.00","1,384.55","319.32K","-0.72%"
"30-12-2024","1,397.35","1,392.10","1,405.60","1,380.65","371.80K","0.38%"
"27-12-2024","1,392.00","1,365.50","1,408.45","1,364.65","331.25K","2.18%"
"26-12-2024","1,362.30","1,372.05","1,377.00","1,356.65","246.65K","-0.67%"
"24-12-2024","1,371.50","1,393.85","1,399.00","1,367.25","319.60K","-1.23%"
"23-12-2024","1,388.55","1,425.20","1,445.85","1,382.25","439.13K","-2.00%"
"20-12-2024","1,416.95","1,480.50","1,481.75","1,410.00","480.12K","-4.05%"
"19-12-2024","1,476.80","1,443.85","1,490.00","1,425.15","1.35M","2.15%"
"18-12-2024","1,445.75","1,440.00","1,462.00","1,432.10","417.45K","0.41%"
"17-12-2024","1,439.80","1,428.80","1,446.80","1,420.00","539.18K","1.25%"
"16-12-2024","1,422.00","1,447.90","1,451.70","1,415.25","349.96K","-1.37%"
"13-12-2024","1,441.80","1,470.00","1,476.85","1,432.00","393.85K","-1.95%"
"12-12-2024","1,470.50","1,473.00","1,478.80","1,443.00","485.19K","0.54%"
"11-12-2024","1,462.55","1,492.95","1,502.00","1,460.10","446.39K","-1.97%"
"10-12-2024","1,492.00","1,497.90","1,505.00","1,475.40","626.85K","0.41%"
"09-12-2024","1,485.85","1,460.00","1,490.00","1,453.05","943.24K","2.48%"
"06-12-2024","1,449.90","1,445.95","1,464.95","1,437.40","653.39K","0.59%"
"05-12-2024","1,441.35","1,442.80","1,446.50","1,428.10","552.81K","0.75%"
"04-12-2024","1,430.65","1,436.50","1,466.10","1,409.00","1.02M","0.07%"
"03-12-2024","1,429.65","1,422.05","1,454.00","1,421.00","1.14M","1.03%"
"02-12-2024","1,415.10","1,383.00","1,455.00","1,380.05","2.00M","2.88%"
"29-11-2024","1,375.50","1,347.90","1,384.00","1,340.10","768.36K","2.84%"
"28-11-2024","1,337.45","1,368.95","1,371.20","1,332.10","496.86K","-1.02%"
"27-11-2024","1,351.25","1,362.90","1,376.00","1,348.00","441.76K","-0.30%"
"26-11-2024","1,355.25","1,373.50","1,378.90","1,350.10","419.92K","-0.71%"
"25-11-2024","1,364.95","1,378.00","1,382.00","1,355.10","572.17K","0.54%"
"22-11-2024","1,357.60","1,379.80","1,386.40","1,353.05","361.88K","-1.25%"
"21-11-2024","1,374.75","1,364.65","1,389.00","1,361.75","536.42K","0.74%"
"19-11-2024","1,364.65","1,361.95","1,387.60","1,354.05","593.01K","0.67%"
"18-11-2024","1,355.55","1,388.05","1,392.00","1,351.00","630.36K","-1.53%"
"14-11-2024","1,376.55","1,373.00","1,427.00","1,372.60","1.21M","0.70%"
"13-11-2024","1,366.95","1,397.00","1,433.15","1,360.10","2.01M","-1.72%"
"12-11-2024","1,390.85","1,402.00","1,450.00","1,377.40","2.28M","-0.32%"
"11-11-2024","1,395.25","1,407.20","1,425.00","1,388.05","351.70K","-0.85%"
"08-11-2024","1,407.15","1,439.10","1,440.00","1,401.00","271.05K","-1.70%"
"07-11-2024","1,431.55","1,448.00","1,460.15","1,422.40","382.23K","-1.08%"
"06-11-2024","1,447.20","1,432.10","1,449.45","1,419.00","361.56K","1.78%"
"05-11-2024","1,421.95","1,409.00","1,428.00","1,402.70","273.87K","0.92%"
"04-11-2024","1,409.00","1,431.95","1,431.95","1,396.05","275.80K","-1.25%"
"01-11-2024","1,426.90","1,436.95","1,439.80","1,417.00","146.98K","1.71%"
"31-10-2024","1,402.95","1,383.00","1,413.80","1,364.35","343.84K","1.47%"
"30-10-2024","1,382.60","1,346.00","1,391.00","1,345.00","370.16K","3.09%"
"29-10-2024","1,341.15","1,325.00","1,356.75","1,315.10","367.61K","1.35%"
"28-10-2024","1,323.25","1,294.95","1,336.90","1,282.55","404.24K","2.43%"
"25-10-2024","1,291.90","1,347.30","1,353.60","1,287.20","510.97K","-3.60%"
"24-10-2024","1,340.20","1,320.20","1,352.00","1,316.30","232.76K","1.51%"
"23-10-2024","1,320.20","1,312.35","1,354.90","1,310.00","413.97K","-0.59%"
"22-10-2024","1,328.05","1,373.50","1,384.50","1,318.55","574.71K","-3.29%"
"21-10-2024","1,373.30","1,405.05","1,408.65","1,368.25","372.99K","-1.81%"
"18-10-2024","1,398.65","1,392.00","1,403.85","1,365.60","412.88K","0.68%"
"17-10-2024","1,389.20","1,404.00","1,407.45","1,376.25","353.35K","-0.69%"
"16-10-2024","1,398.90","1,392.00","1,411.85","1,386.10","445.61K","0.68%"
"15-10-2024","1,389.40","1,425.00","1,432.90","1,364.00","1.03M","-2.20%"
"14-10-2024","1,420.60","1,443.70","1,448.35","1,415.00","507.42K","-1.09%"
"11-10-2024","1,436.25","1,436.00","1,446.00","1,427.00","366.41K","-0.09%"
"10-10-2024","1,437.50","1,481.10","1,481.70","1,433.55","880.33K","-2.50%"
"09-10-2024","1,474.30","1,433.65","1,484.95","1,431.50","1.57M","3.35%"
"08-10-2024","1,426.50","1,408.70","1,432.00","1,388.50","989.49K","1.77%"
"07-10-2024","1,401.65","1,362.35","1,412.95","1,350.10","2.57M","3.52%"
"04-10-2024","1,353.95","1,361.00","1,386.70","1,345.05","662.09K","-0.64%"
"03-10-2024","1,362.70","1,388.00","1,399.00","1,359.00","681.55K","-2.69%"
"01-10-2024","1,400.30","1,420.00","1,425.00","1,397.00","400.80K","-1.39%"
"30-09-2024","1,420.00","1,423.40","1,449.00","1,402.90","824.83K","0.48%"
"27-09-2024","1,413.15","1,385.85","1,423.00","1,385.85","926.08K","2.19%"
"26-09-2024","1,382.90","1,425.10","1,425.45","1,376.05","842.51K","-2.37%"
"25-09-2024","1,416.40","1,415.90","1,433.90","1,405.00","637.44K","0.15%"
"24-09-2024","1,414.25","1,442.00","1,456.40","1,407.05","957.54K","-1.82%"
"23-09-2024","1,440.40","1,490.60","1,500.70","1,435.00","1.30M","-2.75%"
"20-09-2024","1,481.10","1,515.85","1,528.00","1,471.10","1.03M","-2.24%"
"19-09-2024","1,515.05","1,550.95","1,559.30","1,490.00","914.90K","-1.81%"
"18-09-2024","1,543.05","1,552.80","1,561.70","1,520.55","766.07K","-1.19%"
"17-09-2024","1,561.70","1,577.00","1,583.10","1,558.15","330.38K","-1.02%"
"16-09-2024","1,577.75","1,592.00","1,594.00","1,557.05","472.05K","-0.30%"
"13-09-2024","1,582.50","1,604.40","1,616.00","1,572.00","622.01K","-0.65%"
"12-09-2024","1,592.85","1,605.00","1,639.00","1,566.10","1.33M","0.06%"
"11-09-2024","1,591.95","1,554.40","1,624.00","1,549.40","2.21M","3.00%"
"10-09-2024","1,545.55","1,556.70","1,585.90","1,535.20","762.01K","-0.05%"
"09-09-2024","1,546.25","1,564.40","1,564.40","1,523.05","391.02K","-0.88%"
"06-09-2024","1,559.90","1,562.95","1,577.95","1,532.00","538.96K","0.27%"
"05-09-2024","1,555.75","1,568.05","1,598.00","1,550.00","857.10K","-0.05%"
"04-09-2024","1,556.55","1,518.85","1,569.00","1,503.05","873.33K","1.70%"
"03-09-2024","1,530.60","1,539.50","1,549.40","1,524.00","347.28K","-0.45%"
"02-09-2024","1,537.55","1,550.30","1,550.30","1,530.10","378.09K","0.00%"
"30-08-2024","1,537.55","1,510.00","1,569.90","1,510.00","1.50M","2.56%"
"29-08-2024","1,499.15","1,546.90","1,546.90","1,490.15","764.44K","-2.62%"
"28-08-2024","1,539.50","1,569.00","1,571.00","1,534.05","569.85K","-1.55%"
"27-08-2024","1,563.80","1,574.15","1,579.75","1,550.60","564.39K","-0.01%"
"26-08-2024","1,563.90","1,567.70","1,584.95","1,541.95","1.26M","0.37%"
"23-08-2024","1,558.15","1,558.00","1,580.00","1,520.25","1.50M","0.44%"
"22-08-2024","1,551.35","1,474.00","1,574.90","1,461.95","3.96M","5.39%"
"21-08-2024","1,471.95","1,441.90","1,475.00","1,436.10","847.21K","2.11%"
"20-08-2024","1,441.50","1,468.00","1,483.90","1,425.00","683.16K","-1.11%"
"19-08-2024","1,457.75","1,466.05","1,475.00","1,450.30","492.46K","-0.29%"
"16-08-2024","1,461.95","1,468.10","1,495.40","1,456.85","745.79K","0.21%"
"14-08-2024","1,458.90","1,500.05","1,503.95","1,434.95","1.20M","-1.10%"
"13-08-2024","1,475.10","1,519.20","1,535.80","1,470.00","1.99M","-1.30%"
"12-08-2024","1,494.50","1,439.00","1,539.70","1,420.60","4.53M","3.76%"
"09-08-2024","1,440.35","1,455.00","1,468.05","1,427.00","590.37K","-0.66%"
"08-08-2024","1,449.85","1,423.00","1,463.30","1,412.40","1.26M","2.50%"
"07-08-2024","1,414.50","1,367.00","1,422.00","1,367.00","1.69M","4.65%"
"06-08-2024","1,351.65","1,330.00","1,368.70","1,322.15","875.16K","3.25%"
"05-08-2024","1,309.15","1,350.00","1,356.20","1,291.95","840.33K","-4.28%"
"02-08-2024","1,367.65","1,349.05","1,372.45","1,332.00","591.17K","0.41%"
"01-08-2024","1,362.00","1,363.55","1,377.80","1,352.05","581.64K","0.05%"
"31-07-2024","1,361.35","1,354.40","1,367.45","1,343.00","483.61K","1.02%"
"30-07-2024","1,347.65","1,353.00","1,370.00","1,342.00","641.02K","0.06%"
"29-07-2024","1,346.85","1,349.00","1,384.00","1,331.30","1.10M","0.91%"
"26-07-2024","1,334.65","1,334.70","1,349.00","1,312.00","632.36K","0.82%"
"25-07-2024","1,323.80","1,309.00","1,339.80","1,291.10","959.54K","0.44%"
"24-07-2024","1,318.05","1,249.00","1,325.00","1,244.40","1.18M","4.62%"
"23-07-2024","1,259.80","1,242.30","1,270.00","1,170.40","890.80K","2.69%"
"22-07-2024","1,226.80","1,213.05","1,254.00","1,209.10","692.21K","0.28%"
"19-07-2024","1,223.35","1,260.40","1,260.40","1,212.00","780.59K","-2.94%"
"18-07-2024","1,260.35","1,286.00","1,311.00","1,255.00","2.16M","-1.65%"
"16-07-2024","1,281.45","1,211.40","1,305.00","1,208.40","3.66M","6.07%"
"15-07-2024","1,208.10","1,185.10","1,252.00","1,184.80","1.80M","2.00%"
"12-07-2024","1,184.40","1,190.50","1,203.85","1,178.55","488.14K","-0.15%"
"11-07-2024","1,186.20","1,195.90","1,210.00","1,181.30","446.99K","0.18%"
"10-07-2024","1,184.05","1,203.30","1,216.00","1,166.10","585.28K","-1.32%"
"09-07-2024","1,199.85","1,201.15","1,213.40","1,182.50","513.82K","0.38%"
"08-07-2024","1,195.35","1,234.00","1,236.00","1,189.20","709.76K","-2.33%"
"05-07-2024","1,223.90","1,219.50","1,240.00","1,208.00","760.36K","0.66%"
"04-07-2024","1,215.90","1,228.00","1,237.80","1,212.15","723.30K","-0.09%"
"03-07-2024","1,217.05","1,199.80","1,239.00","1,183.70","1.09M","2.11%"
"02-07-2024","1,191.95","1,207.40","1,212.45","1,186.25","462.05K","-0.58%"
"01-07-2024","1,198.95","1,173.90","1,228.90","1,162.65","1.58M","2.75%"
"28-06-2024","1,166.85","1,153.00","1,174.90","1,153.00","789.98K","1.36%"
"27-06-2024","1,151.20","1,181.60","1,188.95","1,145.00","620.65K","-2.28%"
"26-06-2024","1,178.10","1,195.00","1,204.90","1,173.45","447.04K","-1.24%"
"25-06-2024","1,192.95","1,204.60","1,216.65","1,174.90","626.94K","-0.27%"
"24-06-2024","1,196.15","1,210.00","1,218.90","1,190.00","961.44K","-0.37%"
