"Date","Price","Open","High","Low","Vol.","Change %"
"17-01-2025","373.60","368.45","375.40","365.30","5.50M","1.27%"
"16-01-2025","368.90","371.80","374.00","368.05","5.89M","0.94%"
"15-01-2025","365.45","360.00","371.60","355.95","11.05M","2.38%"
"14-01-2025","356.95","341.00","358.15","341.00","11.85M","5.00%"
"13-01-2025","339.95","350.00","354.85","338.40","11.24M","-4.60%"
"10-01-2025","356.35","367.15","368.50","355.05","9.58M","-2.94%"
"09-01-2025","367.15","374.05","376.00","366.00","6.42M","-1.84%"
"08-01-2025","374.05","379.50","380.45","372.05","8.18M","-1.24%"
"07-01-2025","378.75","380.00","384.45","377.55","7.29M","0.03%"
"06-01-2025","378.65","397.00","397.00","377.00","11.69M","-4.54%"
"03-01-2025","396.65","396.00","402.95","395.45","8.25M","0.29%"
"02-01-2025","395.50","392.00","397.00","387.10","11.24M","0.80%"
"01-01-2025","392.35","392.50","394.20","389.30","4.40M","-0.01%"
"31-12-2024","392.40","389.50","395.00","385.50","9.69M","0.68%"
"30-12-2024","389.75","399.60","400.30","387.00","29.02M","-2.32%"
"27-12-2024","399.00","406.00","408.00","398.15","5.98M","-1.31%"
"26-12-2024","404.30","401.00","408.00","397.70","8.62M","1.23%"
"24-12-2024","399.40","400.85","405.25","398.25","6.76M","-0.13%"
"23-12-2024","399.90","404.85","406.00","396.85","9.05M","-0.30%"
"20-12-2024","401.10","412.60","415.40","400.05","10.21M","-2.79%"
"19-12-2024","412.60","410.00","413.90","406.70","7.24M","-0.58%"
"18-12-2024","415.00","420.90","421.00","413.00","6.31M","-1.40%"
"17-12-2024","420.90","425.40","428.00","419.30","6.45M","-1.08%"
"16-12-2024","425.50","427.95","430.40","424.35","4.24M","-0.69%"
"13-12-2024","428.45","432.00","432.40","420.30","8.03M","-1.18%"
"12-12-2024","433.55","435.00","436.75","429.00","6.05M","-0.29%"
"11-12-2024","434.80","435.60","438.60","434.30","5.82M","-0.09%"
"10-12-2024","435.20","441.95","442.65","432.05","9.85M","-1.26%"
"09-12-2024","440.75","443.00","447.70","439.10","13.42M","0.24%"
"06-12-2024","439.70","433.80","442.50","433.25","17.37M","2.05%"
"05-12-2024","430.85","425.65","433.30","419.50","10.80M","1.22%"
"04-12-2024","425.65","428.55","432.00","424.30","6.20M","-0.68%"
"03-12-2024","428.55","418.40","429.90","417.60","14.37M","2.89%"
"02-12-2024","416.50","413.00","418.90","412.00","8.16M","0.57%"
"29-11-2024","414.15","414.50","417.50","410.45","8.48M","-0.08%"
"28-11-2024","414.50","418.35","421.00","412.10","9.85M","-0.75%"
"27-11-2024","417.65","411.80","418.50","409.25","7.87M","1.79%"
"26-11-2024","410.30","413.90","415.40","408.00","7.29M","-0.50%"
"25-11-2024","412.35","421.45","423.45","410.00","20.23M","-0.34%"
"22-11-2024","413.75","414.90","416.90","409.25","11.17M","1.40%"
"21-11-2024","408.05","411.50","413.40","397.40","13.36M","-0.01%"
"19-11-2024","408.10","406.25","417.80","406.25","8.87M","0.84%"
"18-11-2024","404.70","408.00","410.90","397.60","10.70M","0.01%"
"14-11-2024","404.65","401.95","411.85","400.50","11.06M","1.33%"
"13-11-2024","399.35","413.00","416.20","396.95","13.33M","-3.57%"
"12-11-2024","414.15","432.05","436.35","412.50","11.04M","-4.02%"
"11-11-2024","431.50","431.95","437.75","428.05","8.28M","-0.29%"
"08-11-2024","432.75","446.80","446.80","430.00","9.33M","-2.73%"
"07-11-2024","444.90","451.50","454.75","443.00","9.82M","-0.98%"
"06-11-2024","449.30","437.10","452.00","436.50","12.64M","3.50%"
"05-11-2024","434.10","429.00","434.85","425.85","8.89M","1.18%"
"04-11-2024","429.05","446.25","446.80","426.05","13.26M","-3.68%"
"01-11-2024","445.45","444.00","448.45","442.10","4.39M","1.23%"
"31-10-2024","440.05","430.50","444.80","420.80","29.69M","3.06%"
"30-10-2024","427.00","426.05","433.30","421.85","9.70M","0.38%"
"29-10-2024","425.40","428.00","428.55","415.25","9.52M","-0.07%"
"28-10-2024","425.70","423.50","429.50","415.00","8.79M","0.85%"
"25-10-2024","422.10","438.00","439.10","414.50","16.75M","-3.63%"
"24-10-2024","438.00","437.10","441.25","432.05","7.75M","0.07%"
"23-10-2024","437.70","436.50","443.15","430.40","11.70M","0.42%"
"22-10-2024","435.85","453.80","454.10","434.00","12.89M","-3.96%"
"21-10-2024","453.80","455.55","465.55","449.65","13.39M","0.06%"
"18-10-2024","453.55","449.90","456.50","443.05","11.05M","0.74%"
"17-10-2024","450.20","461.00","462.60","449.00","10.20M","-2.23%"
"16-10-2024","460.45","463.25","469.50","457.30","8.57M","-0.66%"
"15-10-2024","463.50","463.50","474.40","461.05","11.99M","0.26%"
"14-10-2024","462.30","463.80","464.80","458.35","8.55M","0.25%"
"11-10-2024","461.15","465.65","467.35","459.35","8.01M","-0.97%"
"10-10-2024","465.65","460.00","477.90","456.20","20.63M","1.04%"
"09-10-2024","460.85","459.95","470.40","452.60","16.27M","0.86%"
