"Date","Price","Open","High","Low","Vol.","Change %"
"15-01-2025","86.50","86.67","86.67","86.42","502.59K","-0.22%"
"14-01-2025","86.70","86.75","86.86","86.58","716.74K","-0.06%"
"13-01-2025","86.75","86.30","86.80","86.30","1.03M","0.68%"
"10-01-2025","86.16","86.03","86.18","86.01","698.87K","0.15%"
"09-01-2025","86.03","86.08","86.30","86.02","333.76K","-0.04%"
"08-01-2025","86.07","85.97","86.08","85.96","496.41K","0.19%"
"07-01-2025","85.91","85.85","85.95","85.82","195.79K","-0.03%"
"06-01-2025","85.93","86.04","86.85","85.88","366.17K","-0.03%"
"03-01-2025","85.96","85.97","85.99","85.90","402.98K","0.02%"
"02-01-2025","85.94","85.86","86.00","85.84","661.18K","0.11%"
"01-01-2025","85.85","85.88","85.92","85.68","200.25K","-0.04%"
"31-12-2024","85.88","85.79","85.90","85.75","480.09K","0.12%"
"30-12-2024","85.78","85.72","85.84","85.68","310.51K","0.21%"
"27-12-2024","85.59","85.29","86.62","85.29","761.51K","0.37%"
"26-12-2024","85.28","85.26","85.29","85.15","1.27M","0.08%"
"24-12-2024","85.21","85.15","85.25","85.15","1.48M","0.08%"
"23-12-2024","85.14","85.07","85.17","85.01","1.02M","0.14%"
"20-12-2024","85.02","85.18","85.18","85.00","362.44K","-0.19%"
"19-12-2024","85.18","85.22","85.75","85.10","635.73K","0.20%"
"18-12-2024","85.01","85.00","85.81","84.99","549.19K","0.02%"
"17-12-2024","85.00","85.03","85.05","84.97","163.15K","-0.01%"
"16-12-2024","85.01","84.88","85.05","84.87","353.10K","0.15%"
"13-12-2024","84.88","84.98","84.98","84.86","160.15K","-0.11%"
"12-12-2024","84.97","84.95","84.98","84.93","481.81K","0.02%"
"11-12-2024","84.96","84.96","84.98","84.92","694.51K","0.00%"
"10-12-2024","84.96","84.86","84.97","84.86","613.37K","0.15%"
"09-12-2024","84.83","84.80","84.84","84.78","139.49K","0.05%"
"06-12-2024","84.79","84.78","84.80","84.57","303.89K","-0.03%"
"05-12-2024","84.82","84.86","84.86","84.79","169.61K","-0.06%"
"04-12-2024","84.87","84.81","84.88","84.76","141.28K","0.08%"
"03-12-2024","84.80","84.90","84.90","84.75","465.95K","-0.04%"
"02-12-2024","84.84","84.71","84.86","84.70","1.84M","0.20%"
"29-11-2024","84.67","84.62","84.71","84.60","962.54K","0.08%"
"28-11-2024","84.60","84.55","84.63","84.55","1.32M","0.15%"
"27-11-2024","84.47","84.39","84.47","84.39","396.14K","0.20%"
"26-11-2024","84.30","84.28","84.35","84.22","1.12M","-0.01%"
"25-11-2024","84.31","84.40","84.40","84.25","873.49K","-0.14%"
"22-11-2024","84.43","84.51","84.51","84.41","186.36K","-0.12%"
"21-11-2024","84.53","84.44","84.54","84.43","201.94K","0.09%"
"19-11-2024","84.45","84.42","84.47","84.42","166.67K","0.01%"
"18-11-2024","84.44","84.44","84.47","84.40","136.27K","-0.08%"
"14-11-2024","84.50","84.44","84.51","84.43","129.50K","0.09%"
"13-11-2024","84.43","84.43","84.44","84.41","96.96K","0.01%"
"12-11-2024","84.42","84.43","84.46","84.41","812.78K","-0.01%"
"11-11-2024","84.43","84.44","84.44","84.40","557.58K","0.00%"
"08-11-2024","84.43","84.40","84.44","84.40","567.89K","0.03%"
"07-11-2024","84.40","84.33","84.43","84.33","467.20K","0.03%"
"06-11-2024","84.38","84.19","84.61","84.19","644.26K","0.25%"
"05-11-2024","84.17","84.19","84.19","84.17","601.67K","-0.01%"
"04-11-2024","84.18","84.14","84.19","84.14","260.19K","0.05%"
"01-11-2024","84.14","84.14","84.17","84.13","1.07K","-0.01%"
"31-10-2024","84.15","84.16","84.17","84.14","129.59K","-0.01%"
"30-10-2024","84.16","84.14","84.17","84.14","161.12K","0.09%"
"29-10-2024","84.08","84.07","84.08","84.07","271.98K","0.00%"
"28-10-2024","84.07","84.08","84.08","84.07","886.37K","-0.02%"
"25-10-2024","84.09","84.07","84.10","84.06","413.17K","0.01%"
"24-10-2024","84.08","84.08","84.08","84.07","457.36K","-0.01%"
