Date,Price,Open,High,Low,Vol.,Change %
10-01-2025,356.35,367.15,368.5,355.05,9.58M,-2.94%
09-01-2025,367.15,374.05,376,366,6.42M,-1.84%
08-01-2025,374.05,379.5,380.45,372.05,8.18M,-1.24%
07-01-2025,378.75,380,384.45,377.55,7.29M,0.03%
06-01-2025,378.65,397,397,377,11.69M,-4.54%
03-01-2025,396.65,396,402.95,395.45,8.25M,0.29%
02-01-2025,395.5,392,397,387.1,11.24M,0.80%
01-01-2025,392.35,392.5,394.2,389.3,4.40M,-0.01%
31-12-2024,392.4,389.5,395,385.5,9.69M,0.68%
30-12-2024,389.75,399.6,400.3,387,29.02M,-2.32%
27-12-2024,399,406,408,398.15,5.98M,-1.31%
26-12-2024,404.3,401,408,397.7,8.62M,1.23%
24-12-2024,399.4,400.85,405.25,398.25,6.76M,-0.13%
23-12-2024,399.9,404.85,406,396.85,9.05M,-0.30%
20-12-2024,401.1,412.6,415.4,400.05,10.21M,-2.79%
19-12-2024,412.6,410,413.9,406.7,7.24M,-0.58%
18-12-2024,415,420.9,421,413,6.31M,-1.40%
17-12-2024,420.9,425.4,428,419.3,6.45M,-1.08%
16-12-2024,425.5,427.95,430.4,424.35,4.24M,-0.69%
13-12-2024,428.45,432,432.4,420.3,8.03M,-1.18%
12-12-2024,433.55,435,436.75,429,6.05M,-0.29%
11-12-2024,434.8,435.6,438.6,434.3,5.82M,-0.09%
10-12-2024,435.2,441.95,442.65,432.05,9.85M,-1.26%
09-12-2024,440.75,443,447.7,439.1,13.42M,0.24%
06-12-2024,439.7,433.8,442.5,433.25,17.37M,2.05%
05-12-2024,430.85,425.65,433.3,419.5,10.80M,1.22%
04-12-2024,425.65,428.55,432,424.3,6.20M,-0.68%
03-12-2024,428.55,418.4,429.9,417.6,14.37M,2.89%
02-12-2024,416.5,413,418.9,412,8.16M,0.57%
29-11-2024,414.15,414.5,417.5,410.45,8.48M,-0.08%
28-11-2024,414.5,418.35,421,412.1,9.85M,-0.75%
27-11-2024,417.65,411.8,418.5,409.25,7.87M,1.79%
26-11-2024,410.3,413.9,415.4,408,7.29M,-0.50%
25-11-2024,412.35,421.45,423.45,410,20.23M,-0.34%
22-11-2024,413.75,414.9,416.9,409.25,11.17M,1.40%
21-11-2024,408.05,411.5,413.4,397.4,13.36M,-0.01%
19-11-2024,408.1,406.25,417.8,406.25,8.87M,0.84%
18-11-2024,404.7,408,410.9,397.6,10.70M,0.01%
14-11-2024,404.65,401.95,411.85,400.5,11.06M,1.33%
13-11-2024,399.35,413,416.2,396.95,13.33M,-3.57%
12-11-2024,414.15,432.05,436.35,412.5,11.04M,-4.02%
11-11-2024,431.5,431.95,437.75,428.05,8.28M,-0.29%
08-11-2024,432.75,446.8,446.8,430,9.33M,-2.73%
07-11-2024,444.9,451.5,454.75,443,9.82M,-0.98%
06-11-2024,449.3,437.1,452,436.5,12.64M,3.50%
05-11-2024,434.1,429,434.85,425.85,8.89M,1.18%
04-11-2024,429.05,446.25,446.8,426.05,13.26M,-3.68%
01-11-2024,445.45,444,448.45,442.1,4.39M,1.23%
31-10-2024,440.05,430.5,444.8,420.8,29.69M,3.06%
30-10-2024,427,426.05,433.3,421.85,9.70M,0.38%
29-10-2024,425.4,428,428.55,415.25,9.52M,-0.07%
28-10-2024,425.7,423.5,429.5,415,8.79M,0.85%
25-10-2024,422.1,438,439.1,414.5,16.75M,-3.63%
24-10-2024,438,437.1,441.25,432.05,7.75M,0.07%
23-10-2024,437.7,436.5,443.15,430.4,11.70M,0.42%
22-10-2024,435.85,453.8,454.1,434,12.89M,-3.96%
21-10-2024,453.8,455.55,465.55,449.65,13.39M,0.06%
18-10-2024,453.55,449.9,456.5,443.05,11.05M,0.74%
17-10-2024,450.2,461,462.6,449,10.20M,-2.23%
16-10-2024,460.45,463.25,469.5,457.3,8.57M,-0.66%
15-10-2024,463.5,463.5,474.4,461.05,11.99M,0.26%
14-10-2024,462.3,463.8,464.8,458.35,8.55M,0.25%
11-10-2024,461.15,465.65,467.35,459.35,8.01M,-0.97%
10-10-2024,465.65,460,477.9,456.2,20.63M,1.04%
09-10-2024,460.85,459.95,470.4,452.6,16.27M,0.86%
08-10-2024,456.9,441.6,460.95,439.6,20.65M,3.54%
07-10-2024,441.3,467.9,468.9,438.7,19.89M,-5.43%
04-10-2024,466.65,471.5,474.45,460.6,13.34M,-1.09%
03-10-2024,471.8,469.05,477.95,464.5,14.97M,-1.96%
01-10-2024,481.25,486.8,491.2,479.4,15.14M,-0.28%
30-09-2024,482.6,485.4,489,473.35,15.76M,-0.60%
27-09-2024,485.5,482.5,494.85,477.5,32.12M,1.99%
26-09-2024,476.05,470,477.85,465.55,20.07M,1.70%
25-09-2024,468.1,468.75,470.9,460.4,15.95M,-0.14%
24-09-2024,468.75,455.55,474.25,453.35,40.26M,3.15%
23-09-2024,454.45,444.95,460,444.5,26.48M,2.32%
20-09-2024,444.15,441.8,446.5,439.35,11.84M,1.04%
19-09-2024,439.6,442.7,450.6,430.8,12.72M,-0.23%
18-09-2024,440.6,445.5,447.1,437.95,7.01M,-1.01%
17-09-2024,445.1,443.35,450.9,439.55,10.74M,0.39%
16-09-2024,443.35,443.5,451.9,440.5,8.85M,0.35%
