"Date","Price","Open","High","Low","Vol.","Change %"
"10-01-2025","368.50","371.40","373.20","364.70","4.89M","-0.99%"
"09-01-2025","372.20","381.55","381.55","370.80","6.25M","-2.14%"
"08-01-2025","380.35","380.05","382.05","376.00","7.41M","0.14%"
"07-01-2025","379.80","380.55","384.25","376.50","6.54M","0.28%"
"06-01-2025","378.75","394.05","394.05","377.15","8.77M","-3.79%"
"03-01-2025","393.65","393.00","399.30","389.50","7.12M","0.18%"
"02-01-2025","392.95","388.40","393.95","384.05","7.54M","1.70%"
"01-01-2025","386.40","383.55","388.15","382.50","3.58M","0.59%"
"31-12-2024","384.15","377.90","384.70","376.10","7.69M","1.65%"
"30-12-2024","377.90","380.50","382.30","375.70","22.33M","-0.68%"
"27-12-2024","380.50","387.50","388.45","379.55","5.91M","-1.58%"
"26-12-2024","386.60","386.40","390.30","385.05","4.19M","0.55%"
"24-12-2024","384.50","384.85","386.75","381.40","4.24M","0.40%"
"23-12-2024","382.95","386.00","388.60","382.40","5.16M","0.25%"
"20-12-2024","382.00","393.00","393.70","380.50","7.92M","-2.54%"
"19-12-2024","391.95","390.95","394.50","387.00","5.75M","-0.97%"
"18-12-2024","395.80","403.50","404.80","394.55","7.18M","-1.76%"
"17-12-2024","402.90","410.45","410.95","402.00","5.07M","-1.84%"
"16-12-2024","410.45","410.50","412.85","406.50","5.43M","0.04%"
"13-12-2024","410.30","409.10","411.25","402.00","9.44M","0.29%"
"12-12-2024","409.10","416.50","417.85","407.10","9.41M","-1.88%"
"11-12-2024","416.95","416.00","419.65","415.55","5.35M","0.70%"
"10-12-2024","414.05","415.50","417.20","411.50","6.04M","0.01%"
"09-12-2024","414.00","418.00","420.95","412.50","6.66M","-0.76%"
"06-12-2024","417.15","420.00","421.50","416.40","4.25M","-0.30%"
"05-12-2024","418.40","418.15","421.25","412.00","9.50M","0.42%"
"04-12-2024","416.65","422.10","425.90","415.00","6.84M","-1.29%"
"03-12-2024","422.10","425.00","425.50","419.35","7.93M","0.09%"
"02-12-2024","421.70","418.40","423.40","416.80","6.40M","1.27%"
"29-11-2024","416.40","415.30","418.00","411.00","7.06M","0.29%"
"28-11-2024","415.20","420.00","424.90","413.50","7.79M","-0.47%"
"27-11-2024","417.15","420.00","421.00","412.70","9.22M","1.37%"
"26-11-2024","411.50","418.45","420.00","409.70","5.80M","-1.43%"
"25-11-2024","417.45","421.00","427.45","415.70","10.90M","0.82%"
"22-11-2024","414.05","407.40","415.75","406.40","8.16M","1.98%"
"21-11-2024","406.00","413.05","413.90","404.15","14.14M","-1.52%"
"19-11-2024","412.25","415.95","422.00","410.70","6.29M","-0.27%"
"18-11-2024","413.35","413.95","418.50","411.00","7.35M","0.88%"
"14-11-2024","409.75","407.20","413.35","402.60","8.78M","0.70%"
"13-11-2024","406.90","414.00","415.50","405.70","7.17M","-1.73%"
"12-11-2024","414.05","422.50","424.80","412.80","6.56M","-1.78%"
"11-11-2024","421.55","423.00","425.75","417.35","7.20M","-0.59%"
"08-11-2024","424.05","435.35","436.00","421.25","9.93M","-2.60%"
"07-11-2024","435.35","437.80","440.35","434.65","5.86M","-0.10%"
"06-11-2024","435.80","437.80","438.90","431.20","9.13M","0.21%"
"05-11-2024","434.90","429.10","436.25","427.00","10.19M","-1.89%"
"04-11-2024","443.30","458.00","458.15","435.50","15.72M","-2.39%"
"01-11-2024","454.15","454.65","459.55","452.35","3.10M","0.46%"
