"Date","Price","Open","High","Low","Vol.","Change %"
"13-01-2025","7,150.95","7,240.00","7,255.10","7,134.00","664.27K","-1.88%"
"10-01-2025","7,288.05","7,277.45","7,367.05","7,245.05","808.96K","0.15%"
"09-01-2025","7,277.45","7,338.45","7,355.40","7,236.00","668.14K","-1.06%"
"08-01-2025","7,355.40","7,361.85","7,388.45","7,256.70","844.47K","0.02%"
"07-01-2025","7,353.95","7,354.95","7,446.90","7,301.45","1.04M","0.06%"
"06-01-2025","7,349.35","7,500.00","7,599.90","7,316.75","1.91M","-0.78%"
"03-01-2025","7,407.25","7,389.75","7,500.00","7,359.25","1.51M","0.24%"
"02-01-2025","7,389.20","6,980.00","7,430.00","6,971.00","3.17M","6.54%"
"01-01-2025","6,935.30","6,823.00","6,947.95","6,806.00","418.72K","1.65%"
"31-12-2024","6,823.00","6,869.95","6,877.00","6,792.00","615.40K","-0.95%"
"30-12-2024","6,888.25","6,900.00","6,995.00","6,865.00","490.88K","-0.28%"
"27-12-2024","6,907.75","6,846.85","6,976.70","6,830.40","555.42K","1.35%"
"26-12-2024","6,815.75","6,830.40","6,858.00","6,800.05","329.10K","0.11%"
"24-12-2024","6,808.20","6,882.00","6,910.00","6,794.00","601.43K","-0.85%"
"23-12-2024","6,866.70","6,897.00","6,976.90","6,855.95","582.93K","0.27%"
"20-12-2024","6,848.25","6,913.35","7,024.00","6,804.70","2.70M","-1.02%"
"19-12-2024","6,918.55","6,950.00","7,024.45","6,887.85","907.68K","-2.20%"
"18-12-2024","7,074.45","7,149.00","7,178.80","7,060.40","727.51K","-1.10%"
"17-12-2024","7,152.80","7,200.00","7,257.40","7,110.00","1.03M","-0.77%"
"16-12-2024","7,208.40","7,182.80","7,248.00","7,156.10","796.07K","0.36%"
"13-12-2024","7,182.80","7,099.00","7,217.25","6,980.60","1.25M","0.80%"
"12-12-2024","7,125.80","7,121.85","7,148.40","7,075.00","966.80K","0.15%"
"11-12-2024","7,115.10","6,959.90","7,165.00","6,893.10","1.99M","2.58%"
"10-12-2024","6,936.20","6,884.80","6,958.85","6,844.05","1.20M","0.99%"
"09-12-2024","6,868.35","6,850.10","6,925.00","6,827.90","840.91K","0.26%"
"06-12-2024","6,850.30","6,875.95","6,935.00","6,778.65","833.21K","0.00%"
"05-12-2024","6,850.40","6,760.00","6,889.90","6,685.45","1.35M","1.64%"
"04-12-2024","6,740.00","6,701.75","6,764.40","6,666.85","1.13M","0.97%"
"03-12-2024","6,675.45","6,696.15","6,722.40","6,630.80","1.31M","0.37%"
"02-12-2024","6,650.65","6,595.00","6,665.00","6,491.00","920.25K","1.14%"
"29-11-2024","6,575.90","6,519.00","6,609.00","6,510.35","709.64K","1.02%"
"28-11-2024","6,509.40","6,714.00","6,726.25","6,495.00","1.58M","-2.92%"
"27-11-2024","6,705.20","6,650.00","6,733.30","6,612.25","642.01K","1.32%"
"26-11-2024","6,617.95","6,722.00","6,739.80","6,608.45","663.28K","-1.01%"
"25-11-2024","6,685.40","6,789.90","6,863.00","6,667.30","1.13M","0.02%"
"22-11-2024","6,683.95","6,470.00","6,722.40","6,456.05","969.86K","3.38%"
"21-11-2024","6,465.65","6,614.00","6,614.00","6,451.00","1.10M","-1.97%"
"19-11-2024","6,595.30","6,594.35","6,644.80","6,561.00","804.05K","0.42%"
"18-11-2024","6,567.95","6,633.00","6,657.00","6,555.00","596.54K","0.29%"
"14-11-2024","6,549.15","6,572.30","6,639.45","6,530.00","527.70K","-0.26%"
