"Date","Price","Open","High","Low","Vol.","Change %"
"13-01-2025","1,376.25","1,390.10","1,417.95","1,360.00","218.55K","-2.31%"
"10-01-2025","1,408.85","1,435.00","1,440.00","1,403.25","101.62K","-2.37%"
"09-01-2025","1,443.00","1,414.55","1,509.00","1,409.40","413.48K","2.01%"
"08-01-2025","1,414.55","1,458.25","1,464.20","1,399.00","124.34K","-2.38%"
"07-01-2025","1,449.10","1,445.60","1,484.40","1,439.15","83.98K","0.30%"
"06-01-2025","1,444.75","1,475.50","1,509.45","1,422.20","197.90K","-3.45%"
"03-01-2025","1,496.30","1,514.00","1,531.40","1,490.65","83.29K","-1.17%"
"02-01-2025","1,514.00","1,545.00","1,556.40","1,510.00","214.88K","-1.88%"
"01-01-2025","1,543.05","1,408.10","1,558.95","1,408.10","1.05M","8.43%"
"31-12-2024","1,423.10","1,395.10","1,433.90","1,392.35","96.67K","2.01%"
"30-12-2024","1,395.10","1,405.00","1,425.40","1,387.05","57.92K","-1.93%"
"27-12-2024","1,422.55","1,400.30","1,434.35","1,388.20","89.78K","1.40%"
"26-12-2024","1,402.90","1,424.95","1,430.50","1,385.65","93.84K","-1.92%"
"24-12-2024","1,430.30","1,451.00","1,468.80","1,425.00","79.03K","-1.59%"
"23-12-2024","1,453.45","1,431.10","1,461.25","1,412.05","154.37K","0.17%"
"20-12-2024","1,451.05","1,488.95","1,507.00","1,436.25","202.46K","-2.09%"
"19-12-2024","1,482.00","1,453.25","1,487.00","1,430.00","241.48K","0.74%"
"18-12-2024","1,471.15","1,422.00","1,478.00","1,416.05","235.94K","3.44%"
"17-12-2024","1,422.25","1,434.00","1,449.90","1,412.00","195.16K","-1.16%"
"16-12-2024","1,438.95","1,425.00","1,446.50","1,387.20","166.21K","1.01%"
"13-12-2024","1,424.60","1,401.00","1,431.00","1,390.05","154.10K","0.98%"
"12-12-2024","1,410.80","1,450.00","1,451.00","1,400.10","215.26K","-2.00%"
"11-12-2024","1,439.60","1,413.70","1,445.65","1,378.00","552.64K","2.95%"
"10-12-2024","1,398.30","1,299.00","1,406.00","1,290.00","1.36M","8.48%"
"09-12-2024","1,288.95","1,299.00","1,309.00","1,286.15","207.75K","-0.29%"
"06-12-2024","1,292.65","1,290.50","1,298.15","1,284.50","88.45K","0.36%"
"05-12-2024","1,287.95","1,301.05","1,302.00","1,282.00","127.29K","0.06%"
"04-12-2024","1,287.15","1,302.75","1,310.00","1,284.00","130.21K","-0.14%"
"03-12-2024","1,288.90","1,292.45","1,316.30","1,281.00","261.91K","0.91%"
"02-12-2024","1,277.25","1,294.00","1,294.00","1,273.85","106.50K","-0.54%"
"29-11-2024","1,284.20","1,292.20","1,306.25","1,278.55","145.92K","0.04%"
"28-11-2024","1,283.70","1,299.00","1,310.00","1,281.10","194.65K","-1.17%"
"27-11-2024","1,298.85","1,292.25","1,314.55","1,285.10","100.86K","0.52%"
"26-11-2024","1,292.15","1,294.25","1,310.80","1,288.05","164.61K","0.22%"
"25-11-2024","1,289.25","1,313.35","1,329.95","1,284.05","178.27K","-0.77%"
"22-11-2024","1,299.30","1,277.05","1,305.00","1,269.55","75.49K","1.74%"
"21-11-2024","1,277.05","1,292.20","1,298.10","1,268.00","120.28K","-1.06%"
"19-11-2024","1,290.75","1,285.50","1,313.95","1,285.00","52.23K","0.54%"
"18-11-2024","1,283.85","1,311.00","1,311.40","1,280.80","81.26K","-1.14%"
"14-11-2024","1,298.65","1,310.00","1,338.20","1,290.25","123.16K","-0.76%"
"13-11-2024","1,308.65","1,360.00","1,366.75","1,305.00","144.63K","-3.86%"
