"Date","Price","Open","High","Low","Vol.","Change %"
"13-01-2025","171.460","177.080","180.990","170.060","8.39M","-4.91%"
"10-01-2025","180.320","180.000","184.500","174.510","16.74M","0.74%"
"09-01-2025","179.000","188.800","191.500","178.200","47.79M","-0.54%"
"08-01-2025","179.980","181.990","184.900","177.030","5.53M","-1.16%"
"07-01-2025","182.090","179.990","184.200","179.060","4.99M","1.57%"
"06-01-2025","179.270","187.720","188.690","178.000","9.62M","-4.50%"
"03-01-2025","187.720","189.170","192.200","186.710","5.29M","-1.63%"
"02-01-2025","190.840","192.000","192.900","190.000","4.93M","-0.38%"
"01-01-2025","191.570","190.000","192.690","188.000","7.52M","1.66%"
"31-12-2024","188.450","188.800","189.900","185.310","6.86M","-0.33%"
"30-12-2024","189.080","184.400","193.370","183.540","21.78M","2.97%"
"27-12-2024","183.620","184.000","184.880","180.800","9.48M","-0.36%"
"26-12-2024","184.290","186.300","187.750","176.000","33.25M","-0.96%"
"24-12-2024","186.080","185.650","188.880","180.160","16.88M","0.71%"
"23-12-2024","184.770","182.010","188.640","181.600","9.13M","2.07%"
"20-12-2024","181.030","183.680","186.500","180.000","12.66M","-1.44%"
"19-12-2024","183.680","174.000","184.700","172.030","13.57M","2.75%"
"18-12-2024","178.770","181.440","183.900","175.580","9.10M","-1.47%"
"17-12-2024","181.440","185.060","186.260","180.250","8.70M","-1.94%"
"16-12-2024","185.030","182.100","194.690","180.050","25.28M","1.63%"
"13-12-2024","182.060","177.260","184.700","171.850","21.61M","1.85%"
"12-12-2024","178.750","178.000","181.900","175.560","12.38M","0.64%"
"11-12-2024","177.610","175.230","178.690","174.100","6.61M","1.16%"
"10-12-2024","175.570","171.010","176.050","171.010","9.94M","3.10%"
"09-12-2024","170.290","167.840","172.820","167.060","8.86M","1.45%"
"06-12-2024","167.850","168.350","169.400","166.550","5.44M","-0.29%"
"05-12-2024","168.330","169.860","170.950","165.550","8.55M","-0.74%"
"04-12-2024","169.590","165.000","170.670","163.440","13.41M","3.29%"
"03-12-2024","164.190","157.100","167.640","157.100","24.60M","5.13%"
