"Date","Price","Open","High","Low","Vol.","Change %"
"14-01-2025","409.35","410.45","416.75","403.25","1.81M","-0.02%"
"13-01-2025","409.45","415.00","434.85","407.55","5.70M","-2.92%"
"10-01-2025","421.75","413.40","432.00","397.05","6.11M","2.02%"
"09-01-2025","413.40","398.55","417.35","397.85","7.74M","3.91%"
"08-01-2025","397.85","405.50","407.35","390.25","2.67M","-1.85%"
"07-01-2025","405.35","406.00","414.25","404.80","1.17M","0.37%"
"06-01-2025","403.85","421.00","421.00","402.00","1.22M","-3.87%"
"03-01-2025","420.10","415.95","424.40","415.20","1.28M","1.17%"
"02-01-2025","415.25","416.15","418.50","407.00","1.25M","-0.20%"
"01-01-2025","416.10","410.35","418.40","409.20","861.02K","1.48%"
"31-12-2024","410.05","410.10","413.50","406.00","854.97K","-0.01%"
"30-12-2024","410.10","411.45","413.75","407.00","1.30M","-0.28%"
"27-12-2024","411.25","413.25","418.75","410.00","852.46K","-0.48%"
"26-12-2024","413.25","415.50","416.75","408.15","1.25M","-0.52%"
"24-12-2024","415.40","410.00","417.45","407.55","1.37M","1.44%"
"23-12-2024","409.50","405.95","410.90","403.05","1.37M","1.40%"
"20-12-2024","403.85","417.70","423.45","402.10","2.11M","-2.80%"
"19-12-2024","415.50","415.00","418.05","413.25","1.01M","-1.47%"
"18-12-2024","421.70","430.80","430.80","420.50","964.91K","-1.74%"
"17-12-2024","429.15","438.40","439.80","428.00","1.07M","-2.11%"
"16-12-2024","438.40","439.60","442.60","433.30","860.33K","0.27%"
"13-12-2024","437.20","437.50","438.35","427.75","1.09M","-0.11%"
"12-12-2024","437.70","447.00","448.95","436.40","1.08M","-1.99%"
"11-12-2024","446.60","449.70","452.25","446.00","712.25K","-0.22%"
"10-12-2024","447.60","450.00","456.50","446.55","1.75M","-0.18%"
"09-12-2024","448.40","452.00","454.75","445.70","1.79M","-0.71%"
"06-12-2024","451.60","449.80","453.40","448.05","1.25M","0.58%"
"05-12-2024","449.00","450.00","451.35","441.90","1.81M","0.42%"
"04-12-2024","447.10","447.00","453.35","444.10","1.17M","0.45%"
"03-12-2024","445.10","445.00","449.65","443.95","986.18K","0.26%"
"02-12-2024","443.95","448.00","448.00","440.20","1.93M","-0.97%"
"29-11-2024","448.30","447.20","451.95","445.20","600.99K","-0.01%"
"28-11-2024","448.35","453.50","459.75","445.85","1.15M","-0.97%"
"27-11-2024","452.75","452.90","458.00","447.55","2.08M","0.31%"
"26-11-2024","451.35","440.90","452.40","438.20","1.99M","3.07%"
"25-11-2024","437.90","435.70","441.50","434.75","1.10M","1.64%"
"22-11-2024","430.85","426.20","433.00","422.60","1.01M","1.23%"
"21-11-2024","425.60","432.00","433.00","423.00","1.07M","-2.14%"
"19-11-2024","434.90","433.00","441.95","431.00","965.13K","0.85%"
"18-11-2024","431.25","439.00","439.00","429.50","1.25M","-1.60%"
"14-11-2024","438.25","429.00","440.50","427.45","1.30M","2.24%"
"13-11-2024","428.65","446.00","446.00","426.20","2.08M","-3.73%"
"12-11-2024","445.25","442.05","449.15","440.00","3.39M","1.25%"
"11-11-2024","439.75","454.95","458.00","427.00","23.77M","-7.30%"
"08-11-2024","474.40","518.00","519.00","472.50","8.79M","-7.89%"
"07-11-2024","515.05","522.00","525.45","512.45","892.08K","-1.23%"
"06-11-2024","521.45","514.00","522.45","510.30","1.06M","2.08%"
"05-11-2024","510.80","505.00","513.25","501.60","1.48M","1.14%"
"04-11-2024","505.05","529.50","529.50","497.05","2.70M","-3.94%"
"01-11-2024","525.75","512.60","528.35","512.00","1.02M","2.91%"
"31-10-2024","510.90","512.00","514.80","504.50","1.02M","-0.32%"
