"Date","Price","Open","High","Low","Vol.","Change %"
"14-01-2025","46.32","48.33","47.18","46.17","2.11M","-2.26%"
"13-01-2025","47.39","47.86","48.08","47.25","13.23M","-0.94%"
"10-01-2025","47.84","46.37","48.05","46.37","7.80M","3.17%"
"09-01-2025","46.37","46.98","47.05","46.28","14.67M","-0.98%"
"08-01-2025","46.83","48.05","48.05","45.98","2.85M","0.34%"
"07-01-2025","46.67","48.25","48.25","46.51","3.00M","-0.36%"
"06-01-2025","46.84","47.00","47.49","46.70","4.04M","-0.51%"
"03-01-2025","47.08","48.05","48.05","46.90","3.45M","-1.09%"
"02-01-2025","47.60","46.55","47.67","46.48","19.28M","2.28%"
"01-01-2025","46.54","47.71","47.71","46.50","2.37M","-0.21%"
"31-12-2024","46.64","47.48","47.78","45.83","4.02M","-1.17%"
"30-12-2024","47.19","47.84","47.84","46.41","7.04M","0.64%"
"27-12-2024","46.89","47.30","47.85","46.66","6.69M","0.09%"
"26-12-2024","46.85","47.87","48.30","46.62","2.12M","-0.04%"
"24-12-2024","46.87","47.70","47.70","46.79","2.16M","-0.30%"
"23-12-2024","47.01","47.63","47.63","46.88","5.37M","0.17%"
"20-12-2024","46.93","48.99","49.10","46.84","7.40M","-2.76%"
"19-12-2024","48.26","48.86","48.86","47.70","10.83M","-1.23%"
"18-12-2024","48.86","49.34","49.34","48.55","1.76M","-0.02%"
"17-12-2024","48.87","49.13","49.29","48.65","2.24M","-0.51%"
"16-12-2024","49.12","49.74","49.76","49.01","2.55M","-0.75%"
"13-12-2024","49.49","49.03","49.55","48.38","5.78M","0.94%"
"12-12-2024","49.03","48.65","49.46","48.50","4.77M","0.78%"
"11-12-2024","48.65","48.48","48.96","48.41","3.14M","0.35%"
"10-12-2024","48.48","48.39","48.70","48.10","4.25M","0.81%"
"09-12-2024","48.09","48.55","48.55","47.75","3.04M","0.27%"
"06-12-2024","47.96","48.07","49.50","47.84","7.06M","-0.23%"
"05-12-2024","48.07","47.18","48.31","47.17","6.01M","1.93%"
"04-12-2024","47.16","47.50","47.50","46.82","3.31M","0.47%"
"03-12-2024","46.94","47.67","47.67","46.61","4.33M","0.43%"
"02-12-2024","46.74","46.46","46.96","46.04","4.16M","0.60%"
"29-11-2024","46.46","46.73","46.79","45.99","3.46M","0.41%"
"28-11-2024","46.27","47.50","47.50","46.16","6.68M","-2.38%"
"27-11-2024","47.40","47.80","48.00","47.34","4.94M","-0.13%"
"26-11-2024","47.46","46.97","47.65","46.97","14.82M","1.04%"
"25-11-2024","46.97","47.40","47.45","45.40","6.03M","1.12%"
"22-11-2024","46.45","45.65","46.70","44.91","8.01M","3.15%"
"21-11-2024","45.03","44.81","45.47","44.75","2.30M","0.51%"
"19-11-2024","44.80","45.59","45.59","44.47","2.25M","0.76%"
"18-11-2024","44.46","45.50","45.78","44.12","3.98M","-2.29%"
"14-11-2024","45.50","45.81","45.87","45.28","3.23M","0.09%"
"13-11-2024","45.46","46.19","46.19","45.30","4.74M","-0.79%"
"12-11-2024","45.82","45.99","46.25","45.64","13.83M","-0.07%"
"11-11-2024","45.85","45.48","45.94","43.80","7.14M","1.60%"
"08-11-2024","45.13","44.91","45.43","44.91","3.24M","0.51%"
"07-11-2024","44.90","45.49","45.50","44.41","3.43M","-0.51%"
"06-11-2024","45.13","44.75","45.19","43.57","6.32M","3.82%"
"05-11-2024","43.47","43.44","43.74","43.25","1.76M","0.07%"
"04-11-2024","43.44","43.74","43.74","43.01","3.41M","-0.69%"
"01-11-2024","43.74","43.55","44.57","43.55","1.45M","0.44%"
"31-10-2024","43.55","45.70","45.70","43.32","8.91M","-2.83%"
"30-10-2024","44.82","45.70","45.80","44.76","2.25M","-0.55%"
"29-10-2024","45.07","45.11","45.44","44.80","1.94M","-0.09%"
"28-10-2024","45.11","45.50","45.50","44.45","2.57M","0.49%"
"25-10-2024","44.89","45.50","45.50","44.74","3.43M","-0.31%"
"24-10-2024","45.03","45.20","45.34","44.88","2.21M","-0.18%"
"23-10-2024","45.11","46.00","46.00","44.02","5.28M","2.38%"
"22-10-2024","44.06","44.99","44.99","44.00","7.02M","-0.97%"
"21-10-2024","44.49","45.99","45.99","44.35","3.30M","-1.13%"
"18-10-2024","45.00","45.71","45.71","44.75","4.63M","-1.36%"
"17-10-2024","45.62","45.65","45.80","45.15","4.50M","0.86%"
"16-10-2024","45.23","45.73","45.79","45.17","2.74M","-1.09%"
"15-10-2024","45.73","45.78","46.25","45.59","4.58M","-0.09%"
"14-10-2024","45.77","45.50","45.90","45.18","3.95M","1.33%"
"11-10-2024","45.17","45.06","45.49","44.75","2.52M","0.24%"
"10-10-2024","45.06","46.00","46.00","45.00","3.02M","-0.95%"
"09-10-2024","45.49","45.20","45.80","45.19","4.72M","0.57%"
"08-10-2024","45.23","45.18","45.35","44.55","4.28M","0.31%"
"07-10-2024","45.09","45.28","45.39","44.61","5.77M","-0.42%"
"04-10-2024","45.28","45.84","45.84","44.54","5.55M","0.40%"
"03-10-2024","45.10","46.00","46.00","44.56","5.53M","-0.42%"
"01-10-2024","45.29","44.94","45.44","44.92","4.89M","0.80%"
"30-09-2024","44.93","45.49","45.49","44.81","4.48M","-0.90%"
"27-09-2024","45.34","45.42","46.30","45.28","9.11M","0.58%"
"26-09-2024","45.08","44.84","45.30","44.84","3.27M","0.51%"
"25-09-2024","44.85","45.41","45.41","44.60","6.90M","-0.97%"
"24-09-2024","45.29","44.94","45.49","44.60","9.22M","0.78%"
"23-09-2024","44.94","45.07","45.34","44.72","6.49M","-0.31%"
"20-09-2024","45.08","45.39","45.41","44.60","7.27M","0.60%"
"19-09-2024","44.81","45.50","46.00","44.50","18.96M","-0.58%"
"18-09-2024","45.07","46.89","46.89","44.60","20.17M","-2.76%"
"17-09-2024","46.35","46.44","46.59","46.08","2.33M","0.13%"
"16-09-2024","46.29","46.31","46.59","46.23","5.00M","-0.04%"
"13-09-2024","46.31","46.50","46.50","45.95","4.32M","0.50%"
"12-09-2024","46.08","46.85","46.85","45.46","4.58M","1.30%"
"11-09-2024","45.49","46.25","46.25","45.40","3.09M","-0.33%"
"10-09-2024","45.64","44.94","45.86","44.92","3.77M","1.83%"
"09-09-2024","44.82","45.19","45.34","44.69","4.47M","-0.82%"
"06-09-2024","45.19","45.98","45.98","45.12","4.94M","-0.99%"
"05-09-2024","45.64","46.00","46.00","45.29","3.03M","0.44%"
"04-09-2024","45.44","45.56","45.56","44.90","4.63M","-0.72%"
"03-09-2024","45.77","46.64","46.64","45.71","3.76M","-0.46%"
"02-09-2024","45.98","45.99","46.25","45.50","4.93M","0.68%"
"30-08-2024","45.67","45.90","45.90","45.40","5.58M","0.37%"
