"Date","Price","Open","High","Low","Vol.","Change %"
"15-01-2025","437.35","436.60","441.80","435.35","9.79M","0.17%"
"14-01-2025","436.60","441.00","441.50","435.85","18.05M","-0.56%"
"13-01-2025","439.05","435.00","444.00","435.00","17.80M","-1.31%"
"10-01-2025","444.90","449.95","452.00","442.50","9.15M","-1.16%"
"09-01-2025","450.10","449.40","460.65","446.05","19.73M","0.12%"
"08-01-2025","449.55","443.00","452.05","437.10","13.48M","1.92%"
"07-01-2025","441.10","445.50","447.60","440.15","14.29M","-0.35%"
"06-01-2025","442.65","455.60","461.75","441.25","22.01M","-2.84%"
"03-01-2025","455.60","463.78","464.49","453.94","37.07M","-1.52%"
"02-01-2025","462.65","459.15","463.55","456.26","26.12M","1.05%"
"01-01-2025","457.82","459.76","460.57","456.12","18.23M","0.06%"
"31-12-2024","457.54","452.62","458.48","448.93","13.28M","1.39%"
"30-12-2024","451.25","454.80","455.46","450.30","13.07M","-0.33%"
"27-12-2024","452.76","453.85","455.88","450.30","16.28M","0.35%"
"26-12-2024","451.20","454.61","455.84","450.30","8.85M","-0.31%"
"24-12-2024","452.62","449.26","454.32","447.13","11.56M","0.89%"
"23-12-2024","448.65","445.76","451.91","442.36","18.84M","2.07%"
"20-12-2024","439.57","441.32","442.21","434.50","19.48M","-0.41%"
"19-12-2024","441.36","443.68","448.74","440.18","14.60M","-0.84%"
"18-12-2024","445.10","447.18","448.22","441.69","12.37M","0.20%"
"17-12-2024","444.20","444.63","450.11","438.05","19.84M","-0.12%"
"16-12-2024","444.72","444.86","448.79","442.73","9.01M","0.02%"
"13-12-2024","444.63","435.17","448.79","427.27","31.75M","2.04%"
"12-12-2024","435.73","440.37","442.64","434.36","12.88M","-1.00%"
"11-12-2024","440.13","441.98","442.92","439.61","6.75M","-0.04%"
"10-12-2024","440.32","440.23","441.27","437.63","8.82M","0.11%"
"09-12-2024","439.85","446.05","446.52","437.96","11.70M","-1.32%"
"06-12-2024","445.71","444.63","449.31","442.45","7.55M","0.78%"
"05-12-2024","442.26","442.31","447.23","437.53","26.42M","0.09%"
"04-12-2024","441.88","448.79","452.38","441.22","13.44M","-1.15%"
"03-12-2024","447.04","440.84","447.84","437.77","22.22M","-0.97%"
"02-12-2024","451.44","450.30","453.42","447.84","5.48M","0.09%"
"29-11-2024","451.01","447.65","453.05","447.09","8.35M","0.39%"
"28-11-2024","449.26","451.25","457.68","445.15","14.41M","-0.43%"
"27-11-2024","451.20","451.72","454.18","447.46","7.07M","-0.01%"
"26-11-2024","451.25","454.09","456.59","448.51","6.54M","0.04%"
"25-11-2024","451.06","453.14","456.17","446.90","13.89M","0.45%"
"22-11-2024","449.02","431.57","450.77","430.91","19.46M","3.83%"
"21-11-2024","432.47","436.11","439.00","430.81","19.56M","-2.18%"
"19-11-2024","442.12","442.73","448.17","441.08","6.86M","0.17%"
"18-11-2024","441.36","440.84","442.55","437.06","8.14M","0.13%"
"14-11-2024","440.80","445.76","447.42","437.30","11.64M","-1.32%"
"13-11-2024","446.71","444.67","449.07","442.97","11.12M","-0.14%"
"12-11-2024","447.32","451.82","452.15","445.71","5.04M","-0.86%"
"11-11-2024","451.20","452.24","455.51","448.51","5.49M","-0.23%"
"08-11-2024","452.24","452.10","454.75","448.98","6.09M","0.03%"
"07-11-2024","452.10","455.74","456.64","450.40","8.92M","-0.67%"
"06-11-2024","455.13","454.27","458.25","452.19","11.31M","0.19%"
"05-11-2024","454.27","456.88","458.86","451.20","7.33M","-0.91%"
"04-11-2024","458.44","466.81","466.81","453.66","8.43M","-1.16%"
"01-11-2024","463.83","464.49","465.53","462.88","1.46M","0.31%"
"31-10-2024","462.41","465.44","466.38","458.53","7.81M","-0.56%"
"30-10-2024","465.01","461.61","466.62","460.23","6.39M","0.74%"
"29-10-2024","461.61","458.82","462.79","455.32","6.87M","0.78%"
"28-10-2024","458.01","455.93","459.67","450.30","8.61M","0.38%"
"25-10-2024","456.26","450.11","466.86","448.60","30.96M","2.25%"
"24-10-2024","446.23","455.98","456.36","444.63","13.09M","-1.80%"
"23-10-2024","454.42","455.03","457.21","453.61","10.16M","-0.30%"
"22-10-2024","455.79","457.54","462.03","454.84","12.30M","-0.38%"
"21-10-2024","457.54","460.42","461.28","451.58","7.40M","-0.63%"
"18-10-2024","460.42","462.36","465.01","452.57","21.78M","-0.45%"
"17-10-2024","462.51","468.28","468.28","461.65","7.39M","-0.87%"
"16-10-2024","466.57","469.22","471.92","465.77","6.68M","-1.07%"
"15-10-2024","471.64","471.11","472.44","467.80","8.04M","0.32%"
"14-10-2024","470.12","464.49","472.06","462.27","6.71M","1.79%"
"11-10-2024","461.84","466.38","467.28","461.09","14.39M","-0.78%"
"10-10-2024","465.49","468.61","468.89","463.03","12.80M","0.07%"
"09-10-2024","465.15","482.28","482.28","464.07","23.95M","-3.20%"
