"Date","Price","Open","High","Low","Vol.","Change %"
"15-01-2025","81.25","82.01","82.45","81.00","270.95K","-0.93%"
"14-01-2025","82.01","82.12","82.50","81.90","146.58K","-0.34%"
"13-01-2025","82.29","83.48","83.48","82.01","73.74K","-1.41%"
"10-01-2025","83.47","83.51","84.89","83.00","132.90K","-0.43%"
"09-01-2025","83.83","83.75","84.50","83.75","95.14K","-0.36%"
"08-01-2025","84.13","84.90","84.90","83.84","99.81K","-0.15%"
"07-01-2025","84.26","85.69","85.69","83.50","161.51K","-1.01%"
"06-01-2025","85.12","86.20","86.20","85.00","111.08K","-0.92%"
"03-01-2025","85.91","86.75","86.75","85.61","73.04K","-0.36%"
"02-01-2025","86.22","85.50","86.40","85.50","93.71K","0.56%"
"01-01-2025","85.74","85.24","85.93","84.80","103.64K","1.18%"
"31-12-2024","84.74","85.39","85.39","84.65","117.16K","-0.16%"
"30-12-2024","84.88","85.40","85.40","84.66","68.89K","-0.21%"
"27-12-2024","85.06","85.27","85.62","84.94","210.07K","-0.25%"
"26-12-2024","85.27","86.60","86.60","85.05","104.50K","-0.27%"
"24-12-2024","85.50","86.00","86.97","85.25","128.99K","-0.64%"
"23-12-2024","86.05","86.78","86.90","86.00","306.19K","-0.43%"
"20-12-2024","86.42","86.74","86.95","86.40","41.31K","-0.37%"
"19-12-2024","86.74","86.95","87.15","86.55","74.44K","-0.29%"
"18-12-2024","86.99","87.00","87.18","86.80","46.11K","0.06%"
"17-12-2024","86.94","87.40","87.40","86.85","52.55K","-0.11%"
"16-12-2024","87.04","87.04","87.29","86.81","43.37K","0.01%"
"13-12-2024","87.03","87.15","87.69","86.71","84.85K","0.02%"
"12-12-2024","87.01","87.43","87.55","87.00","28.98K","-0.48%"
"11-12-2024","87.43","87.58","87.73","86.99","68.17K","0.19%"
"10-12-2024","87.26","87.99","87.99","87.00","69.46K","-0.40%"
"09-12-2024","87.61","88.50","88.50","87.37","60.83K","0.11%"
"06-12-2024","87.51","87.80","87.80","87.10","78.37K","0.01%"
"05-12-2024","87.50","88.09","88.09","87.20","50.57K","-0.13%"
"04-12-2024","87.61","86.21","87.72","86.21","84.69K","0.64%"
"03-12-2024","87.05","89.15","89.40","86.61","61.42K","0.87%"
"02-12-2024","86.30","86.60","87.65","86.11","164.82K","-0.53%"
"29-11-2024","86.76","87.02","87.02","86.10","152.75K","0.61%"
"28-11-2024","86.23","86.09","86.38","86.09","78.62K","0.16%"
"27-11-2024","86.09","87.10","87.10","86.00","109.42K","0.02%"
"26-11-2024","86.07","86.22","86.41","85.00","72.93K","0.06%"
"25-11-2024","86.02","86.21","86.47","85.56","137.38K","-0.01%"
"22-11-2024","86.03","86.50","86.72","85.90","173.29K","-0.54%"
"21-11-2024","86.50","86.79","86.93","86.42","195.83K","-0.28%"
"19-11-2024","86.74","87.00","87.00","86.65","47.11K","0.16%"
"18-11-2024","86.60","87.87","88.03","86.56","134.50K","-0.71%"
"14-11-2024","87.22","89.49","89.49","86.50","56.62K","-0.86%"
"13-11-2024","87.98","88.94","88.94","87.81","150.36K","-0.99%"
"12-11-2024","88.86","89.50","89.50","88.70","206.95K","-3.14%"
"11-11-2024","91.74","90.51","91.84","90.51","48.69K","0.68%"
"08-11-2024","91.12","91.85","91.96","90.75","109.20K","-0.90%"
"07-11-2024","91.95","92.90","92.90","91.85","37.64K","-0.04%"
"06-11-2024","91.99","91.91","92.55","91.50","83.80K","0.08%"
"05-11-2024","91.92","90.31","92.89","90.13","91.03K","1.57%"
"04-11-2024","90.50","91.18","91.18","89.90","98.31K","-0.41%"
"01-11-2024","90.87","91.00","91.13","90.00","42.74K","0.44%"
"31-10-2024","90.47","90.25","90.55","89.70","72.39K","0.66%"
"30-10-2024","89.88","90.00","90.14","89.50","82.66K","0.13%"
"29-10-2024","89.76","88.77","89.96","88.70","117.25K","1.12%"
"28-10-2024","88.77","88.30","89.43","88.30","42.18K","0.51%"
"25-10-2024","88.32","88.48","88.97","87.31","81.57K","0.02%"
"24-10-2024","88.30","88.50","88.83","88.01","89.98K","-0.63%"
"23-10-2024","88.86","88.29","88.90","87.78","111.21K","0.36%"
"22-10-2024","88.54","88.80","88.94","88.50","165.71K","-0.46%"
"21-10-2024","88.95","89.00","89.00","88.82","81.60K","0.03%"
"18-10-2024","88.92","88.85","88.99","88.80","99.94K","0.08%"
"17-10-2024","88.85","89.09","89.09","88.70","71.22K","-0.12%"
"16-10-2024","88.96","88.25","89.15","88.25","79.72K","0.51%"
"15-10-2024","88.51","89.29","89.29","88.40","108.16K","-0.38%"
"14-10-2024","88.85","89.00","89.25","88.59","29.42K","-0.07%"
"11-10-2024","88.91","88.95","89.76","87.73","94.77K","0.71%"
"10-10-2024","88.28","88.19","88.55","86.90","172.22K","0.85%"
"09-10-2024","87.54","87.75","88.60","87.25","134.12K","-0.49%"
"08-10-2024","87.97","88.00","88.24","87.35","148.50K","0.45%"
"07-10-2024","87.58","88.40","89.79","87.30","218.07K","-0.52%"
"04-10-2024","88.04","87.98","88.70","87.25","174.85K","0.57%"
"03-10-2024","87.54","88.39","88.39","87.41","57.65K","-0.44%"
"01-10-2024","87.93","89.00","89.13","87.70","432.91K","-1.12%"
"30-09-2024","88.93","89.50","89.59","88.90","2.70M","-0.65%"
"27-09-2024","89.51","89.70","89.75","89.47","143.13K","-0.23%"
"26-09-2024","89.72","89.98","89.98","89.25","148.97K","-0.29%"
"25-09-2024","89.98","90.00","90.20","88.00","155.92K","-0.02%"
"24-09-2024","90.00","90.70","90.70","89.90","146.02K","-0.16%"
"23-09-2024","90.14","90.74","90.74","90.10","215.30K","-0.09%"
"20-09-2024","90.22","90.52","90.91","90.13","135.41K","-0.33%"
"19-09-2024","90.52","90.98","91.30","90.45","150.92K","-0.29%"
"18-09-2024","90.78","90.85","91.00","90.70","104.79K","-0.08%"
"17-09-2024","90.85","90.77","91.45","90.50","303.85K","0.09%"
"16-09-2024","90.77","90.94","91.45","90.70","165.56K","-0.19%"
