"Date","Price","Open","High","Low","Vol.","Change %"
"16-01-2025","3,600.95","3,570.00","3,643.30","3,570.00","395.26K","0.91%"
"15-01-2025","3,568.45","3,500.05","3,578.95","3,476.50","744.96K","2.64%"
"14-01-2025","3,476.50","3,529.95","3,538.95","3,443.00","746.22K","-0.88%"
"13-01-2025","3,507.45","3,501.00","3,643.95","3,469.95","2.95M","-4.85%"
"10-01-2025","3,686.25","3,837.80","3,837.80","3,666.65","902.00K","-3.34%"
"09-01-2025","3,813.80","3,853.50","3,860.00","3,790.10","727.97K","-0.76%"
"08-01-2025","3,843.00","3,857.00","3,873.95","3,761.80","849.68K","0.33%"
"07-01-2025","3,830.30","3,934.00","3,958.95","3,820.00","672.09K","-2.65%"
"06-01-2025","3,934.75","4,025.20","4,061.75","3,920.10","889.16K","-2.25%"
"03-01-2025","4,025.20","3,840.00","4,165.90","3,820.00","9.28M","11.47%"
"02-01-2025","3,611.10","3,564.95","3,635.00","3,550.25","566.19K","1.41%"
"01-01-2025","3,561.00","3,560.00","3,586.95","3,536.55","241.12K","-0.02%"
"31-12-2024","3,561.85","3,555.00","3,577.95","3,510.10","693.78K","-0.74%"
"30-12-2024","3,588.55","3,570.00","3,669.90","3,495.05","2.35M","0.57%"
"27-12-2024","3,568.35","3,481.05","3,573.40","3,481.05","451.01K","1.61%"
"26-12-2024","3,511.65","3,462.70","3,524.00","3,446.20","611.65K","1.50%"
"24-12-2024","3,459.65","3,474.00","3,524.90","3,450.85","465.81K","-0.03%"
"23-12-2024","3,460.55","3,443.45","3,475.90","3,419.05","642.12K","1.53%"
"20-12-2024","3,408.30","3,519.95","3,519.95","3,399.00","914.45K","-2.57%"
"19-12-2024","3,498.15","3,500.00","3,522.70","3,455.70","684.53K","-0.50%"
"18-12-2024","3,515.70","3,542.95","3,558.00","3,492.70","748.69K","-0.77%"
"17-12-2024","3,542.95","3,627.05","3,629.95","3,519.00","988.42K","-2.23%"
"16-12-2024","3,623.80","3,650.00","3,672.50","3,612.25","595.92K","-0.78%"
"13-12-2024","3,652.30","3,688.45","3,694.80","3,612.00","806.51K","-0.98%"
"12-12-2024","3,688.45","3,729.95","3,736.80","3,678.45","576.17K","-0.54%"
"11-12-2024","3,708.30","3,700.00","3,760.00","3,671.35","1.84M","-2.85%"
"10-12-2024","3,816.90","3,835.00","3,853.00","3,776.60","573.69K","-0.32%"
"09-12-2024","3,829.05","3,800.00","3,844.00","3,761.00","948.37K","0.62%"
"06-12-2024","3,805.55","3,889.00","3,920.45","3,784.05","1.14M","-1.51%"
"05-12-2024","3,863.95","3,865.00","3,882.00","3,822.70","467.72K","0.36%"
"04-12-2024","3,850.10","3,850.00","3,889.25","3,801.05","791.74K","0.53%"
"03-12-2024","3,829.85","3,678.40","3,853.10","3,655.70","979.95K","4.12%"
"02-12-2024","3,678.40","3,715.45","3,722.95","3,622.70","975.52K","-0.84%"
"29-11-2024","3,709.60","3,714.70","3,730.45","3,661.55","913.18K","-0.19%"
"28-11-2024","3,716.55","3,696.65","3,757.90","3,651.00","658.00K","1.51%"
"27-11-2024","3,661.25","3,674.00","3,692.50","3,610.05","361.53K","0.06%"
"26-11-2024","3,659.15","3,635.00","3,681.00","3,622.00","444.83K","1.05%"
"25-11-2024","3,621.05","3,686.00","3,738.60","3,592.10","1.14M","0.20%"
"22-11-2024","3,613.65","3,615.85","3,656.10","3,564.00","940.87K","-0.26%"
"21-11-2024","3,622.90","3,765.05","3,774.55","3,604.05","934.13K","-3.45%"
"19-11-2024","3,752.45","3,792.50","3,794.55","3,737.65","813.37K","-1.01%"
"18-11-2024","3,790.55","3,948.00","3,948.00","3,757.60","656.07K","-0.87%"
"14-11-2024","3,823.85","3,785.20","3,858.85","3,769.00","305.99K","1.71%"
"13-11-2024","3,759.55","3,774.00","3,874.95","3,751.00","419.50K","-0.46%"
"12-11-2024","3,777.00","3,910.00","3,910.00","3,762.55","683.99K","-2.80%"
"11-11-2024","3,885.70","3,899.65","3,940.00","3,814.30","417.67K","0.29%"
"08-11-2024","3,874.50","3,873.05","3,910.10","3,860.15","428.07K","-0.38%"
"07-11-2024","3,889.10","3,940.00","3,943.20","3,871.00","279.83K","-0.85%"
"06-11-2024","3,922.30","3,925.00","3,950.00","3,915.65","357.73K","-0.11%"
"05-11-2024","3,926.55","3,945.85","3,958.85","3,905.05","353.93K","-0.49%"
"04-11-2024","3,945.85","4,000.75","4,006.10","3,899.65","391.41K","-1.39%"
"01-11-2024","4,001.60","3,949.95","4,010.00","3,939.95","67.51K","1.80%"
"31-10-2024","3,930.70","3,930.00","3,939.35","3,876.00","267.67K","-0.04%"
"30-10-2024","3,932.45","4,000.00","4,036.95","3,920.00","651.05K","-0.82%"
"29-10-2024","3,965.15","4,000.00","4,010.00","3,940.20","304.48K","-0.56%"
"28-10-2024","3,987.50","4,052.20","4,094.30","3,975.00","297.23K","-1.60%"
"25-10-2024","4,052.20","4,061.95","4,125.00","3,985.45","423.22K","-0.19%"
"24-10-2024","4,060.10","4,155.75","4,187.90","4,044.65","435.99K","-2.31%"
"23-10-2024","4,156.10","4,009.00","4,224.80","3,978.00","686.72K","3.77%"
"22-10-2024","4,005.20","3,999.90","4,057.00","3,965.90","698.10K","0.80%"
"21-10-2024","3,973.45","4,000.05","4,073.00","3,961.00","494.82K","-0.33%"
"18-10-2024","3,986.70","4,100.00","4,114.00","3,975.10","1.09M","-2.47%"
"17-10-2024","4,087.70","4,175.00","4,180.00","4,044.00","731.37K","-2.06%"
"16-10-2024","4,173.80","4,209.00","4,215.00","4,149.00","688.90K","-0.47%"
"15-10-2024","4,193.55","4,230.00","4,238.95","4,180.60","1.36M","0.24%"
"14-10-2024","4,183.60","4,204.00","4,299.00","4,139.95","4.88M","-8.51%"
"11-10-2024","4,572.70","4,643.10","4,643.10","4,529.00","410.58K","-0.76%"
"10-10-2024","4,607.50","4,664.80","4,698.90","4,572.00","316.73K","-0.82%"
"09-10-2024","4,645.40","4,510.00","4,688.75","4,481.65","1.06M","4.03%"
"08-10-2024","4,465.45","4,544.15","4,619.90","4,435.00","1.01M","-1.73%"
"07-10-2024","4,544.15","4,741.00","4,752.90","4,518.00","1.86M","-4.08%"
"04-10-2024","4,737.55","4,875.00","4,875.00","4,696.10","2.98M","-4.15%"
"03-10-2024","4,942.60","4,924.55","5,015.00","4,881.00","615.25K","-0.24%"
"01-10-2024","4,954.35","5,095.00","5,138.00","4,936.10","562.72K","-2.79%"
"30-09-2024","5,096.30","5,102.30","5,215.00","5,080.00","437.17K","-0.12%"
"27-09-2024","5,102.30","5,224.60","5,226.00","5,090.00","566.69K","-1.84%"
"26-09-2024","5,198.05","5,313.45","5,313.45","5,164.00","372.44K","-1.28%"
"25-09-2024","5,265.50","5,400.00","5,417.50","5,232.00","529.35K","-2.34%"
"24-09-2024","5,391.45","5,304.95","5,484.85","5,231.15","672.94K","1.77%"
"23-09-2024","5,297.45","5,355.15","5,363.00","5,260.25","179.53K","-0.43%"
"20-09-2024","5,320.55","5,360.00","5,417.95","5,225.10","598.43K","-0.41%"
"19-09-2024","5,342.50","5,295.00","5,443.95","5,180.00","392.20K","1.47%"
"18-09-2024","5,265.20","5,225.00","5,289.00","5,219.90","201.98K","0.87%"
"17-09-2024","5,219.85","5,227.00","5,254.00","5,200.10","155.98K","0.29%"
"16-09-2024","5,204.80","5,188.05","5,260.00","5,176.15","198.48K","0.34%"
"13-09-2024","5,187.05","5,250.90","5,255.85","5,155.00","395.55K","-0.98%"
"12-09-2024","5,238.55","5,330.00","5,376.05","5,216.90","380.59K","-1.14%"
"11-09-2024","5,299.10","5,357.90","5,449.00","5,279.10","461.78K","-0.85%"
"10-09-2024","5,344.40","5,361.40","5,422.45","5,315.00","400.99K","-0.32%"
"09-09-2024","5,361.40","5,303.45","5,395.00","5,216.05","594.88K","1.09%"
"06-09-2024","5,303.45","5,293.00","5,354.55","5,202.00","721.16K","-0.09%"
"05-09-2024","5,308.15","5,084.10","5,361.15","5,077.10","1.32M","4.06%"
"04-09-2024","5,100.90","4,974.00","5,109.00","4,960.35","319.84K","2.42%"
"03-09-2024","4,980.60","5,029.00","5,039.80","4,965.00","222.03K","-0.39%"
"02-09-2024","4,999.85","4,977.00","5,023.95","4,951.00","290.60K","1.47%"
"30-08-2024","4,927.45","5,020.00","5,042.00","4,900.00","564.04K","-1.62%"
"29-08-2024","5,008.80","4,991.50","5,155.55","4,980.65","939.64K","0.89%"
"28-08-2024","4,964.85","4,995.50","4,995.50","4,905.00","504.52K","0.13%"
"27-08-2024","4,958.55","5,010.00","5,010.00","4,925.65","144.91K","-0.02%"
"26-08-2024","4,959.40","4,903.00","4,978.75","4,900.10","475.10K","1.18%"
"23-08-2024","4,901.50","5,045.00","5,088.80","4,880.00","802.97K","-3.09%"
"22-08-2024","5,057.85","5,145.00","5,145.00","5,021.15","353.20K","-0.82%"
"21-08-2024","5,099.45","5,095.00","5,164.00","5,051.85","796.49K","0.40%"
"20-08-2024","5,079.20","5,008.00","5,095.95","4,987.70","320.09K","1.53%"
"19-08-2024","5,002.70","5,040.00","5,048.00","4,982.05","171.80K","-0.37%"
"16-08-2024","5,021.30","4,995.00","5,025.00","4,902.70","193.83K","1.23%"
"14-08-2024","4,960.30","4,950.00","5,020.00","4,913.30","282.58K","0.62%"
"13-08-2024","4,929.50","5,039.95","5,048.00","4,905.50","138.44K","-1.68%"
"12-08-2024","5,013.80","4,999.00","5,025.00","4,960.55","167.41K","0.48%"
"09-08-2024","4,989.95","5,033.00","5,063.80","4,971.35","102.06K","0.20%"
"08-08-2024","4,980.10","5,049.95","5,063.90","4,942.00","348.30K","-0.77%"
"07-08-2024","5,018.50","4,960.00","5,063.55","4,954.45","322.15K","2.21%"
"06-08-2024","4,909.90","4,818.15","5,045.25","4,818.15","798.72K","1.92%"
"05-08-2024","4,817.45","4,861.50","5,010.00","4,801.00","715.44K","-1.88%"
"02-08-2024","4,909.70","4,950.00","5,029.75","4,890.15","486.36K","-1.68%"
"01-08-2024","4,993.80","4,949.00","5,008.00","4,883.00","202.18K","1.17%"
"31-07-2024","4,935.95","5,040.00","5,068.90","4,910.20","912.33K","-1.82%"
"30-07-2024","5,027.20","5,140.00","5,175.55","5,000.10","299.95K","-1.68%"
"29-07-2024","5,112.85","5,144.00","5,144.00","5,041.80","206.61K","0.81%"
"26-07-2024","5,071.60","5,199.00","5,199.00","5,040.00","234.45K","-1.93%"
"25-07-2024","5,171.35","5,148.00","5,184.90","5,058.10","393.01K","0.25%"
"24-07-2024","5,158.45","5,100.00","5,205.00","5,082.65","630.16K","1.84%"
"23-07-2024","5,065.25","5,013.00","5,095.45","4,925.10","431.81K","1.05%"
"22-07-2024","5,012.85","4,955.00","5,031.95","4,922.75","559.76K","0.04%"
"19-07-2024","5,010.70","5,062.10","5,078.50","4,955.00","444.96K","-1.43%"
"18-07-2024","5,083.45","5,039.85","5,096.95","5,028.00","837.64K","0.87%"
"16-07-2024","5,039.85","5,000.00","5,104.00","4,979.00","1.06M","1.02%"
"15-07-2024","4,988.85","5,126.45","5,164.00","4,943.65","1.41M","0.91%"
"12-07-2024","4,943.65","4,939.90","5,016.95","4,909.00","598.09K","0.91%"
"11-07-2024","4,898.90","4,853.90","4,969.00","4,832.25","568.25K","1.33%"
"10-07-2024","4,834.45","4,825.00","4,894.35","4,731.10","284.15K","0.58%"
"09-07-2024","4,806.35","4,853.10","4,893.95","4,780.00","421.55K","-0.93%"
"08-07-2024","4,851.55","4,860.00","4,935.20","4,820.00","706.77K","-0.03%"
"05-07-2024","4,853.10","4,768.85","4,871.00","4,742.80","359.69K","1.78%"
"04-07-2024","4,768.10","4,785.10","4,825.00","4,725.00","317.76K","-0.52%"
"03-07-2024","4,792.90","4,760.00","4,810.90","4,700.70","799.11K","0.40%"
"02-07-2024","4,773.85","4,759.10","4,825.25","4,719.55","360.01K","0.80%"
"01-07-2024","4,735.90","4,725.10","4,754.45","4,612.50","642.17K","0.41%"
"28-06-2024","4,716.75","4,900.00","4,921.95","4,680.00","685.01K","-3.74%"
"27-06-2024","4,900.10","4,819.95","4,960.00","4,738.00","503.72K","2.06%"
"26-06-2024","4,801.00","4,775.00","4,823.95","4,690.00","546.31K","0.37%"
"25-06-2024","4,783.35","4,850.00","4,905.00","4,755.00","376.89K","-1.04%"
"24-06-2024","4,833.70","4,792.00","4,875.00","4,765.85","356.82K","0.60%"
"21-06-2024","4,804.85","4,928.00","5,082.95","4,763.00","726.52K","-1.17%"
"20-06-2024","4,861.70","4,947.45","5,022.50","4,832.20","577.84K","-1.46%"
"19-06-2024","4,933.90","5,079.00","5,219.00","4,901.35","1.44M","-2.09%"
"18-06-2024","5,039.30","4,739.95","5,080.00","4,734.80","2.05M","6.32%"
"14-06-2024","4,739.95","4,692.00","4,759.95","4,671.05","258.98K","1.79%"
"13-06-2024","4,656.65","4,697.25","4,739.95","4,640.05","238.27K","-0.22%"
"12-06-2024","4,666.75","4,710.05","4,740.00","4,645.00","555.09K","-0.74%"
"11-06-2024","4,701.45","4,800.00","4,829.90","4,676.00","266.81K","-1.61%"
"10-06-2024","4,778.40","4,769.05","4,812.00","4,688.00","276.91K","0.66%"
"07-06-2024","4,747.25","4,700.00","4,806.35","4,690.75","352.97K","1.28%"
"06-06-2024","4,687.05","4,861.95","4,861.95","4,675.25","664.30K","-3.60%"
"05-06-2024","4,862.25","4,590.00","4,900.00","4,562.20","1.50M","6.89%"
"04-06-2024","4,548.75","4,399.00","4,590.00","4,355.65","1.09M","4.58%"
"03-06-2024","4,349.35","4,392.95","4,400.00","4,301.00","279.80K","1.10%"
"31-05-2024","4,302.15","4,440.00","4,450.00","4,250.40","866.44K","-3.21%"
"30-05-2024","4,444.95","4,475.90","4,497.25","4,410.00","141.71K","-0.71%"
"29-05-2024","4,476.85","4,474.00","4,564.85","4,435.10","234.52K","0.05%"
"28-05-2024","4,474.45","4,551.90","4,588.85","4,440.20","224.69K","-1.39%"
"27-05-2024","4,537.35","4,651.55","4,669.00","4,508.00","392.85K","-3.14%"
"24-05-2024","4,684.50","4,797.90","4,841.40","4,674.10","307.32K","-2.27%"
