"Date","Price","Open","High","Low","Vol.","Change %"
"17-01-2025","1,636.75","1,643.50","1,650.50","1,628.50","11.56M","-0.93%"
"16-01-2025","1,652.05","1,652.85","1,660.55","1,642.85","10.61M","0.55%"
"15-01-2025","1,643.05","1,656.50","1,662.70","1,636.30","7.01M","-0.22%"
"14-01-2025","1,646.60","1,639.90","1,656.20","1,637.00","13.33M","0.97%"
"13-01-2025","1,630.85","1,640.00","1,646.75","1,624.30","10.83M","-1.56%"
"10-01-2025","1,656.75","1,671.00","1,674.90","1,654.00","8.73M","-0.66%"
"09-01-2025","1,667.80","1,684.15","1,689.00","1,658.10","20.21M","-1.56%"
"08-01-2025","1,694.30","1,708.25","1,711.65","1,683.35","9.87M","-1.11%"
"07-01-2025","1,713.40","1,715.00","1,721.00","1,700.00","6.76M","0.17%"
"06-01-2025","1,710.50","1,740.10","1,757.20","1,705.80","9.41M","-2.21%"
"03-01-2025","1,749.20","1,791.00","1,795.25","1,746.30","12.21M","-2.48%"
"02-01-2025","1,793.75","1,777.10","1,803.45","1,773.00","9.28M","0.62%"
"01-01-2025","1,782.75","1,773.45","1,794.00","1,761.10","3.66M","0.56%"
"31-12-2024","1,772.85","1,770.30","1,781.80","1,765.60","7.06M","-0.28%"
"30-12-2024","1,777.90","1,792.20","1,815.00","1,771.00","11.11M","-1.13%"
"27-12-2024","1,798.25","1,794.80","1,805.95","1,789.10","3.63M","0.42%"
"26-12-2024","1,790.75","1,798.55","1,812.00","1,780.75","5.24M","-0.41%"
"24-12-2024","1,798.10","1,802.05","1,808.70","1,789.55","7.24M","-0.16%"
"23-12-2024","1,801.00","1,782.00","1,806.00","1,781.30","5.52M","1.67%"
"20-12-2024","1,771.50","1,782.20","1,797.55","1,767.05","12.85M","-1.23%"
"19-12-2024","1,793.50","1,799.60","1,801.10","1,779.00","12.69M","-0.95%"
"18-12-2024","1,810.70","1,829.85","1,836.00","1,807.15","11.71M","-1.23%"
"17-12-2024","1,833.25","1,856.35","1,862.35","1,826.50","10.54M","-1.71%"
"16-12-2024","1,865.20","1,865.10","1,869.95","1,855.25","6.55M","-0.35%"
"13-12-2024","1,871.75","1,862.50","1,875.00","1,829.25","9.50M","0.67%"
"12-12-2024","1,859.25","1,851.00","1,868.65","1,848.70","8.65M","-0.21%"
"11-12-2024","1,863.10","1,861.70","1,871.90","1,856.75","7.02M","-0.27%"
"10-12-2024","1,868.10","1,877.70","1,877.70","1,858.55","6.66M","-0.10%"
"09-12-2024","1,870.00","1,853.65","1,880.00","1,849.00","13.47M","0.76%"
"06-12-2024","1,855.85","1,857.00","1,864.20","1,844.00","8.89M","-0.53%"
"05-12-2024","1,865.75","1,860.00","1,879.95","1,835.20","19.84M","0.30%"
"04-12-2024","1,860.10","1,838.00","1,865.00","1,831.15","22.33M","1.85%"
"03-12-2024","1,826.30","1,822.70","1,837.40","1,816.10","21.71M","1.20%"
"02-12-2024","1,804.70","1,803.50","1,808.15","1,775.00","7.56M","0.48%"
"29-11-2024","1,796.05","1,801.30","1,804.60","1,782.90","13.83M","0.16%"
"28-11-2024","1,793.15","1,819.00","1,836.10","1,788.00","17.86M","-1.06%"
