TRANSACTION TYPE,DATE,EXCHANGE / CORPORATE ACTION,ACTION,PRODUCT TYPE,QTY,TRANSACTION PRICE,VALUE AT COST(Incl. addnl charges),REMARKS,STT,ADDITIONAL CHARGES
TRADE,08-JAN-2025,NSE,Buy,CASH,10,380.35,3803,,3.77,30.21
TRADE,06-JAN-2025,NSE,Buy,CASH,10,389.96,3900,,3.87,30.22
TRADE,19-DEC-2024,NSE,Buy,CASH,10,395.42,3954,,3.92,30.23
TRADE,13-DEC-2024,NSE,Buy,CASH,10,406.13,4061,,4.03,30.24
TRADE,05-DEC-2024,NSE,Buy,CASH,1,415.2,415,,0.41,1.29
TRADE,05-DEC-2024,NSE,Buy,CASH,59,415.21,24497,,24.4,76.54
TRADE,27-NOV-2024,NSE,Buy,CASH,63,420.43,26487,,26.38,82.78
TRADE,13-NOV-2024,NSE,Buy,CASH,5,415.38,2077,,2.04,29.88
TRADE,08-NOV-2024,NSE,Buy,CASH,10,427.25,4273,,4.24,30.29
CORPORATE ACTION,05-NOV-2024,DIV,Buy,CASH,1322,15.75,20822,Interim-Dividend of Rs.15.7500/- per share on Ex-Date: 05-NOV-2024,0,0
TRADE,28-OCT-2024,NSE,Buy,CASH,12,442.98,5316,,5.28,30.49
TRADE,25-OCT-2024,NSE,Buy,CASH,10,465,4650,,4.62,30.36
TRADE,15-OCT-2024,NSE,Sell,CASH,25,496.31,12408,,12.46,37.21
CORPORATE ACTION,16-AUG-2024,DIV,Buy,CASH,1325,5,6625,Final-Dividend of Rs.5.0000/- per share on Ex-Date: 16-AUG-2024,0,0
TRADE,04-JUN-2024,NSE,Buy,CASH,25,446.36,11159,,11.59,34.87
TRADE,04-JUN-2024,NSE,Buy,CASH,30,481.67,14450,,13.91,45.17
TRADE,03-JUN-2024,NSE,Sell,CASH,30,513.64,15409,,15.47,46.24
CORPORATE ACTION,20-FEB-2024,DIV,Buy,CASH,1300,5.25,6825,Interim-Dividend of Rs.5.2500/- per share on Ex-Date: 20-FEB-2024,0,0
CORPORATE ACTION,21-NOV-2023,DIV,Buy,CASH,1300,15.25,19825,Interim-Dividend of Rs.15.2500/- per share on Ex-Date: 21-NOV-2023,0,0
TRADE,16-OCT-2023,NSE,Sell,CASH,2,312.05,624,,0.63,1.87
TRADE,16-OCT-2023,NSE,Sell,CASH,98,312.05,30581,,30.7,91.71
TRADE,04-OCT-2023,NSE,Buy,CASH,20,289.69,5794,,5.77,18.12
TRADE,04-OCT-2023,NSE,Buy,CASH,11,289.69,3187,,3.17,9.96
TRADE,04-OCT-2023,NSE,Buy,CASH,19,289.69,5504,,5.48,17.21
TRADE,28-SEP-2023,NSE,Sell,CASH,5,291.14,1456,,1.46,4.36
TRADE,28-SEP-2023,NSE,Sell,CASH,95,291.13,27658,,27.77,82.94
TRADE,08-SEP-2023,NSE,Sell,CASH,150,274.15,41123,,41.29,123.31
CORPORATE ACTION,18-AUG-2023,DIV,Buy,CASH,1600,4,6400,Final-Dividend of Rs.4.0000/- per share on Ex-Date: 18-AUG-2023,0,0
TRADE,18-JUL-2023,NSE,Buy,CASH,50,231.75,11588,,11.54,36.19
TRADE,21-JUN-2023,NSE,Buy,CASH,40,228.94,9158,,9.12,28.6
TRADE,21-JUN-2023,NSE,Buy,CASH,10,228.94,2289,,2.28,7.15
TRADE,01-JUN-2023,NSE,Buy,CASH,80,231.96,18556,,18.48,58.01
TRADE,28-MAR-2023,NSE,Buy,CASH,43,211.57,9098,,9.06,28.44
TRADE,28-MAR-2023,NSE,Buy,CASH,42,211.57,8886,,8.85,27.77
TRADE,16-FEB-2023,NSE,Buy,CASH,100,216.69,21669,,21.58,67.73
TRADE,14-FEB-2023,NSE,Buy,CASH,13,213.46,2775,,2.76,16.26
TRADE,14-FEB-2023,NSE,Buy,CASH,1,212.88,213,,0.21,0.67
TRADE,14-FEB-2023,NSE,Buy,CASH,16,212.88,3406,,3.39,10.65
TRADE,14-FEB-2023,NSE,Buy,CASH,1,212.88,213,,0.21,0.67
TRADE,14-FEB-2023,NSE,Buy,CASH,4,212.88,852,,0.85,2.67
TRADE,10-FEB-2023,NSE,Buy,CASH,25,214.53,5363,,5.33,30.51
CORPORATE ACTION,08-FEB-2023,DIV,Buy,CASH,1175,5.25,6169,Interim-Dividend of Rs.5.2500/- per share on Ex-Date: 08-FEB-2023,0,0
TRADE,03-FEB-2023,NSE,Buy,CASH,50,216.04,10802,,10.76,33.76
TRADE,13-JAN-2023,NSE,Buy,CASH,75,215.39,16154,,16.09,50.5
TRADE,06-JAN-2023,NSE,Buy,CASH,50,213.88,10694,,10.65,33.44
TRADE,06-JAN-2023,NSE,Buy,CASH,50,213.88,10694,,10.65,33.44
TRADE,04-JAN-2023,NSE,Buy,CASH,50,217.35,10867,,10.82,33.98
TRADE,22-DEC-2022,NSE,Buy,CASH,25,221.44,5536,,5.5,30.55
CORPORATE ACTION,15-NOV-2022,DIV,Buy,CASH,875,15,13125,Interim-Dividend of Rs.15.0000/- per share on Ex-Date: 15-NOV-2022,0,0
TRADE,29-SEP-2022,NSE,Buy,CASH,40,214.89,8595,,8.56,26.86
TRADE,29-SEP-2022,NSE,Buy,CASH,8,214.88,1719,,1.71,5.37
TRADE,29-SEP-2022,NSE,Buy,CASH,1,214.89,215,,0.21,0.68
TRADE,29-SEP-2022,NSE,Buy,CASH,1,214.89,215,,0.21,0.68
TRADE,26-SEP-2022,NSE,Buy,CASH,75,220.06,16504,,16.44,51.61
TRADE,12-SEP-2022,NSE,Buy,CASH,20,230.55,4611,,4.59,14.42
TRADE,12-SEP-2022,NSE,Buy,CASH,44,230.55,10144,,10.1,31.73
TRADE,12-SEP-2022,NSE,Buy,CASH,36,230.55,8300,,8.27,25.95
