TRANSACTION TYPE,DATE,EXCHANGE / CORPORATE ACTION,ACTION,PRODUCT TYPE,QTY,TRANSACTION PRICE,VALUE AT COST(Incl. addnl charges),REMARKS,STT,ADDITIONAL CHARGES
TRADE,13-JAN-2025,NSE,Buy,CASH,1,3519.7,3553,,3.52,30.16
TRADE,18-DEC-2024,NSE,Buy,CASH,1,3501,3535,,3.5,30.16
TRADE,17-DEC-2024,NSE,Buy,CASH,1,3576,3610,,3.58,30.17
TRADE,13-DEC-2024,NSE,Buy,CASH,1,3633,3667,,3.64,30.17
TRADE,13-DEC-2024,NSE,Buy,CASH,1,3653,3687,,3.64,30.18
TRADE,10-DEC-2024,NSE,Buy,CASH,1,3815,3849,,3.81,30.21
TRADE,26-NOV-2024,NSE,Buy,CASH,1,3665,3699,,3.67,30.18
TRADE,22-NOV-2024,NSE,Buy,CASH,1,3640,3674,,3.64,30.18
TRADE,19-NOV-2024,NSE,Buy,CASH,1,3777.9,3812,,3.78,30.21
TRADE,12-NOV-2024,NSE,Buy,CASH,1,3803,3837,,3.8,30.21
TRADE,06-NOV-2024,NSE,Buy,CASH,1,3924,3958,,3.92,30.23
TRADE,05-NOV-2024,NSE,Buy,CASH,1,3932.9,3967,,3.93,30.23
TRADE,17-OCT-2024,NSE,Buy,CASH,1,4139.85,4174,,4.14,30.27
TRADE,14-OCT-2024,NSE,Buy,CASH,1,4206.8,4241,,4.25,30.28
TRADE,14-OCT-2024,NSE,Buy,CASH,3,4260,12833,,12.74,40.09
TRADE,26-MAR-2024,NSE,Sell,CASH,4,4483,17860,,17.93,53.58
TRADE,26-MAR-2024,NSE,Sell,CASH,9,4483,40186,,40.35,120.56
TRADE,26-MAR-2024,NSE,Sell,CASH,2,4483,8930,,8.97,26.8
TRADE,26-MAR-2024,NSE,Sell,CASH,4,4483,17860,,17.93,53.58
TRADE,26-MAR-2024,NSE,Sell,CASH,4,4483,17860,,17.93,53.58
TRADE,26-MAR-2024,NSE,Sell,CASH,19,4483,84837,,85.18,254.5
TRADE,26-MAR-2024,NSE,Sell,CASH,4,4483,17860,,17.93,53.58
TRADE,26-MAR-2024,NSE,Sell,CASH,3,4483,13395,,13.45,40.18
