TRANSACTION TYPE,DATE,EXCHANGE / CORPORATE ACTION,ACTION,PRODUCT TYPE,QTY,TRANSACTION PRICE,VALUE AT COST(Incl. addnl charges),REMARKS,STT,ADDITIONAL CHARGES
TRADE,08-JAN-2025,NSE,Buy,CASH,100,64.92,6523,,0,30.72
TRADE,06-JAN-2025,NSE,Buy,CASH,100,64.64,6495,,0,30.72
TRADE,14-NOV-2024,NSE,Buy,CASH,50,62.05,3133,,0,30.09
TRADE,12-NOV-2024,NSE,Buy,CASH,50,63.39,3200,,0,30.1
TRADE,07-NOV-2024,NSE,Buy,CASH,50,64.17,3239,,0,30.1
TRADE,04-SEP-2024,NSE,Buy,CASH,28,60.22,1691,,0,5.29
TRADE,04-SEP-2024,NSE,Buy,CASH,322,60.22,19452,,0,60.86
TRADE,20-AUG-2024,NSE,Buy,CASH,246,60.22,14861,,0,46.47
TRADE,20-AUG-2024,NSE,Buy,CASH,54,60.22,3262,,0,10.2
TRADE,06-AUG-2024,NSE,Buy,CASH,100,58.48,5879,,0,30.6
TRADE,25-JUL-2024,NSE,Buy,CASH,450,59.43,26827,,0,83.91
TRADE,23-JUL-2024,NSE,Buy,CASH,31,60.58,1884,,0,5.88
TRADE,23-JUL-2024,NSE,Buy,CASH,119,60.58,7234,,0,25.32
TRADE,03-JUN-2024,NSE,Buy,CASH,50,60.59,3060,,0,30.07
TRADE,09-MAY-2024,NSE,Buy,CASH,150,60.49,9105,,0,31.19
TRADE,29-APR-2024,NSE,Buy,CASH,100,61.25,6156,,0,30.64
TRADE,14-FEB-2024,NSE,Buy,CASH,100,52.09,5240,,0,30.48
TRADE,17-JAN-2024,NSE,Buy,CASH,100,52.7,5301,,0,30.49
TRADE,03-JAN-2024,NSE,Buy,CASH,13,53.76,701,,0,2.19
TRADE,03-JAN-2024,NSE,Buy,CASH,187,53.76,10085,,0,31.55
TRADE,10-NOV-2023,NSE,Buy,CASH,250,51.29,12863,,0,40.22
TRADE,05-OCT-2023,NSE,Buy,CASH,150,48.35,7283,,0,30.87
TRADE,03-OCT-2023,NSE,Buy,CASH,200,48.89,9809,,0,31.35
TRADE,28-SEP-2023,BSE,Buy,CASH,200,49.35,9901,,0,31.43
TRADE,13-SEP-2023,NSE,Buy,CASH,200,49.97,10025,,0,31.36
TRADE,17-AUG-2023,NSE,Buy,CASH,115,49.82,5760,,0,30.57
TRADE,03-JUL-2023,NSE,Buy,CASH,300,49.64,14939,,0,46.74
TRADE,30-JUN-2023,NSE,Buy,CASH,250,49.54,12424,,0,38.84
TRADE,22-JUN-2023,NSE,Buy,CASH,2,49.92,103,,0,2.96
TRADE,22-JUN-2023,NSE,Buy,CASH,89,49.92,4457,,0,14.12
TRADE,22-JUN-2023,NSE,Buy,CASH,9,49.92,463,,0,13.33
TRADE,14-JUN-2023,NSE,Buy,CASH,100,50.56,5087,,0,30.45
TRADE,18-MAY-2023,NSE,Buy,CASH,1,51.48,53,,0,1.53
TRADE,18-MAY-2023,NSE,Buy,CASH,74,51.48,3838,,0,28.68
TRADE,08-MAR-2023,NSE,Buy,CASH,110,47.06,5207,,0,30.49
TRADE,28-FEB-2023,NSE,Buy,CASH,100,47.49,4779,,0,30.39
TRADE,17-FEB-2023,NSE,Buy,CASH,100,48,4830,,0,30.4
TRADE,16-SEP-2022,NSE,Buy,CASH,150,42.32,6379,,0,30.7
TRADE,01-SEP-2022,NSE,Buy,CASH,67,43.37,2915,,0,9.13
TRADE,01-SEP-2022,NSE,Buy,CASH,7,43.37,305,,0,0.96
TRADE,01-SEP-2022,NSE,Buy,CASH,154,43.37,6700,,0,20.99
TRADE,01-SEP-2022,NSE,Buy,CASH,1,43.37,44,,0,0.14
TRADE,01-SEP-2022,NSE,Buy,CASH,3,43.37,131,,0,0.41
TRADE,01-SEP-2022,NSE,Buy,CASH,10,43.37,435,,0,1.35
TRADE,01-SEP-2022,NSE,Buy,CASH,8,43.37,348,,0,1.09
TRADE,01-SEP-2022,NSE,Buy,CASH,49,43.37,2132,,0,6.67
TRADE,01-SEP-2022,NSE,Buy,CASH,1,43.37,44,,0,0.14
TRADE,12-JUL-2022,NSE,Buy,CASH,200,43.61,8753,,0,31.16
TRADE,27-JUN-2022,NSE,Buy,CASH,98,43.79,4305,,0,13.47
TRADE,27-JUN-2022,NSE,Buy,CASH,2,43.79,90,,0,2.59
TRADE,27-JUN-2022,NSE,Buy,CASH,100,43.79,4394,,0,15.08
TRADE,23-NOV-2021,NSE,Buy,CASH,320,41.57,13344,,0,41.7
TRADE,09-AUG-2021,NSE,Buy,CASH,250,40.26,10097,,0,31.54
TRADE,02-AUG-2021,NSE,Buy,CASH,200,41.55,8341,,0,31.02
TRADE,22-JUL-2021,NSE,Buy,CASH,178,41.28,7376,,0,28.07
TRADE,22-JUL-2021,NSE,Buy,CASH,5,41.28,207,,0,0.64
TRADE,22-JUL-2021,NSE,Buy,CASH,17,41.28,704,,0,2.19
TRADE,30-JUN-2021,NSE,Buy,CASH,200,40.51,8133,,0,30.89
TRADE,18-JUN-2021,NSE,Buy,CASH,150,40.98,6178,,0,30.55
TRADE,17-JUN-2021,NSE,Buy,CASH,300,41.3,12429,,0,38.69
TRADE,16-JUN-2021,NSE,Buy,SIP,179,42.04,7556,,0,30.78
TRADE,09-JUN-2021,NSE,Buy,SIP,178,42.48,7592,,0,30.78
TRADE,04-JUN-2021,NSE,Buy,CASH,150,42.12,6349,,0,30.65
TRADE,02-JUN-2021,NSE,Buy,SIP,176,42.7,7546,,0,30.88
TRADE,26-MAY-2021,NSE,Buy,SIP,179,42.54,7645,,0,30.79
