TRANSACTION TYPE,DATE,EXCHANGE / CORPORATE ACTION,ACTION,PRODUCT TYPE,QTY,TRANSACTION PRICE,VALUE AT COST(Incl. addnl charges),REMARKS,STT,ADDITIONAL CHARGES
TRADE,13-JAN-2025,NSE,Buy,CASH,2,1652.59,3305,,3.27,30.11
TRADE,09-JAN-2025,NSE,Buy,CASH,2,1677.62,3355,,3.32,30.12
TRADE,08-JAN-2025,NSE,Buy,CASH,3,1712.85,5139,,5.09,30.47
TRADE,08-JAN-2025,NSE,Buy,CASH,2,1703.86,3408,,3.39,30.13
TRADE,06-JAN-2025,NSE,Buy,CASH,3,1755.9,5268,,5.23,30.48
TRADE,14-NOV-2024,NSE,Buy,CASH,3,1706.85,5121,,5.08,30.46
TRADE,13-NOV-2024,NSE,Buy,CASH,3,1714.87,5145,,5.14,30.47
TRADE,13-NOV-2024,NSE,Buy,CASH,3,1738.88,5217,,5.14,30.48
TRADE,12-NOV-2024,NSE,Buy,CASH,2,1763.19,3526,,3.5,24.99
TRADE,12-NOV-2024,NSE,Buy,CASH,1,1756.18,1756,,1.75,5.48
TRADE,08-NOV-2024,NSE,Sell,CASH,25,1748,43700,,43.88,131.07
TRADE,09-OCT-2024,NSE,Buy,CASH,5,1644.85,8224,,8.19,31.04
TRADE,23-JUL-2024,NSE,Buy,CASH,5,1622.22,8111,,8.07,31.02
TRADE,08-JUL-2024,NSE,Buy,CASH,5,1653.35,8267,,8.23,31.04
TRADE,04-JUN-2024,NSE,Buy,CASH,5,1511.19,7556,,7.51,30.92
TRADE,04-JUN-2024,NSE,Buy,CASH,5,1509.69,7548,,7.51,30.92
TRADE,16-MAY-2024,NSE,Buy,CASH,5,1456.42,7282,,7.24,30.86
CORPORATE ACTION,10-MAY-2024,DIV,Buy,CASH,190,19.5,3705,Annual-Dividend of Rs.19.5000/- per share on Ex-Date: 10-MAY-2024,0,0
TRADE,09-MAY-2024,NSE,Buy,CASH,3,1474.72,4424,,4.39,30.31
TRADE,29-APR-2024,NSE,Buy,CASH,4,1525.17,6101,,6.06,30.63
TRADE,12-APR-2024,NSE,Buy,CASH,5,1530.71,7654,,7.62,30.92
TRADE,27-MAR-2024,NSE,Buy,CASH,4,1438.07,5752,,5.72,30.58
TRADE,22-MAR-2024,NSE,Buy,CASH,4,1450.09,5800,,5.76,30.58
TRADE,22-FEB-2024,NSE,Buy,CASH,4,1425.06,5700,,5.66,30.57
TRADE,09-FEB-2024,NSE,Buy,CASH,4,1415.04,5660,,5.62,30.55
TRADE,05-FEB-2024,NSE,Buy,CASH,7,1443.05,10101,,10.06,31.58
TRADE,30-JAN-2024,NSE,Buy,CASH,5,1452.12,7261,,7.22,30.85
TRADE,18-JAN-2024,NSE,Buy,CASH,8,1515.74,12126,,12.08,37.88
TRADE,17-JAN-2024,NSE,Buy,CASH,10,1579.41,15794,,15.73,49.36
TRADE,09-JAN-2024,NSE,Buy,CASH,7,1671.89,11703,,11.65,36.57
TRADE,21-DEC-2023,NSE,Buy,CASH,5,1664.87,8324,,8.29,31.06
TRADE,18-DEC-2023,NSE,Buy,CASH,10,1659.84,16598,,16.53,51.87
TRADE,04-DEC-2023,NSE,Buy,CASH,10,1593.07,15931,,15.87,49.79
TRADE,15-NOV-2023,NSE,Buy,CASH,12,1511.18,18134,,18.06,56.65
TRADE,13-NOV-2023,NSE,Buy,CASH,6,1499.34,8996,,8.96,31.17
TRADE,26-OCT-2023,NSE,Buy,CASH,5,1472.64,7363,,7.33,30.87
TRADE,25-OCT-2023,NSE,Buy,CASH,5,1509.08,7545,,7.51,30.91
TRADE,23-OCT-2023,NSE,Buy,CASH,7,1527.89,10695,,10.65,33.41
TRADE,17-OCT-2023,NSE,Buy,CASH,10,1546.37,15464,,15.4,48.3
TRADE,26-SEP-2023,NSE,Buy,CASH,10,1543.36,15434,,15.37,48.22
TRADE,22-SEP-2023,NSE,Buy,CASH,7,1542.35,10796,,10.75,33.72
TRADE,20-SEP-2023,NSE,Buy,CASH,38,1580.96,60077,,59.83,187.64
