TRANSACTION TYPE,DATE,EXCHANGE / CORPORATE ACTION,ACTION,PRODUCT TYPE,QTY,TRANSACTION PRICE,VALUE AT COST(Incl. addnl charges),REMARKS,STT,ADDITIONAL CHARGES
TRADE,30-DEC-2024,NSE,Buy,CASH,50,47.32,2366,,0,29.93
TRADE,10-DEC-2024,NSE,Sell,CASH,220,48.23,10612,,0.11,31.8
TRADE,28-NOV-2024,NSE,Buy,CASH,112,46.49,5206,,0,16.3
TRADE,28-NOV-2024,NSE,Buy,CASH,2,46.48,93,,0,0.28
TRADE,28-NOV-2024,NSE,Buy,CASH,55,46.48,2557,,0,7.99
TRADE,28-NOV-2024,NSE,Buy,CASH,20,46.49,930,,0,2.92
TRADE,28-NOV-2024,NSE,Buy,CASH,250,47.08,11769,,0,36.8
TRADE,28-NOV-2024,NSE,Buy,CASH,11,46.68,514,,0,3.76
TRADE,27-NOV-2024,NSE,Sell,CASH,421,47.48,19988,,0.2,59.89
TRADE,27-NOV-2024,NSE,Sell,CASH,779,47.48,36985,,0.37,110.83
TRADE,05-NOV-2024,NSE,Buy,CASH,120,43.55,5226,,0,30.48
TRADE,04-NOV-2024,NSE,Buy,CASH,100,43.68,4368,,0,30.3
TRADE,31-OCT-2024,NSE,Buy,CASH,23,44.49,1023,,0,19.78
TRADE,31-OCT-2024,NSE,Buy,CASH,77,43.77,3370,,0,10.53
TRADE,08-AUG-2024,NSE,Buy,CASH,250,41.38,10345,,0,32.36
TRADE,04-JUN-2024,NSE,Buy,CASH,150,34.72,5208,,0,30.48
TRADE,28-MAY-2024,NSE,Buy,CASH,240,36.16,8678,,0,31.13
TRADE,21-MAY-2024,NSE,Buy,CASH,154,35.66,5492,,0,17.18
TRADE,21-MAY-2024,NSE,Buy,CASH,46,35.85,1649,,0,13.66
TRADE,17-MAY-2024,NSE,Buy,CASH,300,35.78,10735,,0,33.58
TRADE,13-MAY-2024,NSE,Buy,CASH,300,34.94,10482,,0,32.77
TRADE,03-MAY-2024,NSE,Buy,CASH,200,35.03,7007,,0,30.81
TRADE,29-APR-2024,NSE,Buy,CASH,250,35.74,8936,,0,31.16
TRADE,24-APR-2024,NSE,Buy,CASH,16,35.81,573,,0,5.11
TRADE,24-APR-2024,NSE,Buy,CASH,234,35.6,8331,,0,26.06
TRADE,19-APR-2024,NSE,Buy,CASH,250,35.12,8781,,0,31.13
TRADE,05-APR-2024,NSE,Buy,CASH,250,37.55,9386,,0,31.24
TRADE,22-MAR-2024,NSE,Buy,CASH,250,37.1,9276,,0,31.24
TRADE,07-MAR-2024,NSE,Buy,CASH,260,39.3,10219,,0,31.97
TRADE,09-JAN-2024,NSE,Buy,CASH,250,37.16,9291,,0,31.24
TRADE,03-JAN-2024,NSE,Buy,CASH,300,36.57,10972,,0,34.33
TRADE,21-DEC-2023,NSE,Buy,CASH,300,36.88,11066,,0,34.6
TRADE,23-OCT-2023,NSE,Buy,CASH,200,32.84,6569,,0,30.73
TRADE,12-OCT-2023,NSE,Buy,CASH,300,33.8,10139,,0,31.72
TRADE,28-SEP-2023,NSE,Buy,CASH,200,33.88,6777,,0,30.76
TRADE,26-SEP-2023,NSE,Buy,CASH,300,34.27,10280,,0,32.15
TRADE,22-SEP-2023,NSE,Buy,CASH,300,34.51,10352,,0,32.37
TRADE,18-AUG-2023,NSE,Buy,CASH,200,32.36,6472,,0.06,25.94
TRADE,18-AUG-2023,NSE,Buy,CASH,50,32.33,1617,,0.02,5.06
TRADE,03-AUG-2023,NSE,Buy,CASH,250,31.41,7854,,0,30.96
TRADE,26-JUL-2023,NSE,Buy,CASH,250,31.52,7881,,0,30.97
TRADE,24-JUL-2023,NSE,Buy,CASH,250,31.52,7881,,0,30.97
TRADE,21-JUL-2023,NSE,Buy,CASH,400,31.85,12740,,0,39.84
TRADE,18-JUL-2023,NSE,Buy,CASH,500,32.73,16366,,0,51.18
TRADE,13-JUL-2023,NSE,Buy,CASH,266,31.15,8285,,0,25.92
TRADE,13-JUL-2023,NSE,Buy,CASH,1,31.14,31,,0,0.09
TRADE,13-JUL-2023,NSE,Buy,CASH,133,31.15,4143,,0,12.94
TRADE,10-JUL-2023,NSE,Buy,CASH,300,30.87,9262,,0,31.22
TRADE,07-JUL-2023,NSE,Buy,CASH,298,31.21,9300,,0,29.39
TRADE,07-JUL-2023,NSE,Buy,CASH,1,32.03,32,,0,0.92
TRADE,07-JUL-2023,NSE,Buy,CASH,1,32.03,32,,0,0.92
TRADE,04-JUL-2023,NSE,Buy,CASH,350,31.03,10859,,0,33.96
TRADE,21-JUN-2023,NSE,Buy,CASH,350,30.41,10645,,0,33.29
TRADE,15-JUN-2023,NSE,Buy,CASH,223,30.25,6745,,0,21.1
TRADE,15-JUN-2023,NSE,Buy,CASH,57,30.32,1729,,0,9.98
TRADE,12-JUN-2023,NSE,Buy,CASH,320,29.93,9577,,0,31.28
TRADE,21-APR-2023,NSE,Buy,CASH,200,28.14,5629,,0,30.55
TRADE,18-APR-2023,NSE,Buy,CASH,1,28.17,28,,0,0.08
TRADE,18-APR-2023,NSE,Buy,CASH,499,28.18,14061,,0,43.97
TRADE,17-APR-2023,NSE,Buy,CASH,1000,27.83,27827,,0,87.04
