TRANSACTION TYPE,DATE,EXCHANGE / CORPORATE ACTION,ACTION,PRODUCT TYPE,QTY,TRANSACTION PRICE,VALUE AT COST(Incl. addnl charges),REMARKS,STT,ADDITIONAL CHARGES
TRADE,18-DEC-2024,NSE,Buy,CASH,14,469.15,6605,,6.57,30.74
TRADE,13-DEC-2024,NSE,Buy,CASH,11,452.9,5017,,4.98,30.43
TRADE,09-DEC-2024,NSE,Buy,CASH,35,469.2,16490,,16.42,51.52
TRADE,19-NOV-2024,NSE,Buy,CASH,10,472.45,4760,,4.72,30.39
TRADE,08-NOV-2024,NSE,Buy,CASH,8,476.7,3845,,3.81,27.4
TRADE,08-NOV-2024,NSE,Buy,CASH,2,476.7,957,,0.95,2.99
TRADE,05-NOV-2024,NSE,Buy,CASH,30,480.05,14461,,14.4,45.17
TRADE,18-OCT-2024,NSE,Buy,CASH,30,480,14460,,14.4,45.17
TRADE,11-OCT-2024,NSE,Buy,CASH,3,488.75,1495,,1.47,26.9
TRADE,11-OCT-2024,NSE,Buy,CASH,2,488.75,982,,0.98,3.07
TRADE,10-OCT-2024,NSE,Buy,CASH,20,493.35,9908,,9.87,31.34
TRADE,07-AUG-2024,NSE,Buy,CASH,15,492,7418,,7.38,30.89
TRADE,29-JUL-2024,NSE,Buy,CASH,10,495.7,4992,,4.96,30.42
TRADE,26-JUL-2024,NSE,Sell,CASH,20,505,10060,,10.1,30.18
TRADE,03-JUL-2024,NSE,Buy,CASH,155,428,66615,,66.34,208.17
TRADE,25-JUN-2024,NSE,Buy,CASH,20,423.2,8504,,8.46,31.09
TRADE,19-JUN-2024,NSE,Buy,CASH,25,424.8,10664,,10.62,33.32
TRADE,04-JUN-2024,NSE,Buy,CASH,15,421.6,6357,,6.32,26.97
TRADE,04-JUN-2024,NSE,Buy,CASH,3,421.6,1270,,1.26,3.97
CORPORATE ACTION,04-JUN-2024,DIV,Buy,CASH,3482,7.5,26115,Final-Dividend of Rs.7.5000/- per share on Ex-Date: 04-JUN-2024,0,0
TRADE,09-MAY-2024,NSE,Buy,CASH,7,429.45,3039,,3.01,30.06
TRADE,16-FEB-2024,NSE,Buy,CASH,25,399.8,10036,,9.99,31.38
TRADE,08-FEB-2024,NSE,Buy,CASH,10,410.7,4124,,4.11,12.89
TRADE,08-FEB-2024,NSE,Buy,CASH,25,410.9,10315,,10.27,32.23
CORPORATE ACTION,08-FEB-2024,DIV,Buy,CASH,3415,6.25,21344,Interim-Dividend of Rs.6.2500/- per share on Ex-Date: 08-FEB-2024,0,0
TRADE,21-NOV-2023,NSE,Buy,CASH,35,436.6,15344,,15.28,47.93
TRADE,27-OCT-2023,NSE,Buy,CASH,8,433.65,3484,,3.47,10.87
TRADE,27-OCT-2023,NSE,Buy,CASH,4,433.65,1742,,1.73,5.44
TRADE,27-OCT-2023,NSE,Buy,CASH,12,433.65,5225,,5.2,16.33
TRADE,27-OCT-2023,NSE,Buy,CASH,26,433.65,11322,,11.27,35.36
TRADE,23-OCT-2023,NSE,Buy,CASH,5,436.5,2192,,2.18,6.85
TRADE,23-OCT-2023,NSE,Buy,CASH,30,436.5,13149,,13.1,41.06
TRADE,29-SEP-2023,NSE,Buy,CASH,2,441.15,886,,0.88,2.78
TRADE,29-SEP-2023,NSE,Buy,CASH,28,441.15,12403,,12.35,38.74
