TRANSACTION TYPE,DATE,EXCHANGE / CORPORATE ACTION,ACTION,PRODUCT TYPE,QTY,TRANSACTION PRICE,VALUE AT COST(Incl. addnl charges),REMARKS,STT,ADDITIONAL CHARGES
TRADE,13-JAN-2025,NSE,Buy,CASH,50,82.95,4182,,4.15,30.27
TRADE,30-DEC-2024,NSE,Buy,CASH,30,85.02,2583,,2.55,29.97
TRADE,17-DEC-2024,NSE,Buy,CASH,50,86.95,4382,,4.35,30.3
TRADE,09-DEC-2024,NSE,Buy,CASH,100,87.6,8800,,8.76,31.14
TRADE,27-NOV-2024,NSE,Buy,CASH,8,86.07,691,,0.69,2.15
TRADE,27-NOV-2024,NSE,Buy,CASH,13,86.07,1124,,1.12,3.51
TRADE,27-NOV-2024,NSE,Buy,CASH,12,86.07,1037,,1.03,3.23
TRADE,27-NOV-2024,NSE,Buy,CASH,13,86.07,1124,,1.12,3.51
TRADE,27-NOV-2024,NSE,Buy,CASH,12,86.07,1037,,1.03,3.23
TRADE,27-NOV-2024,NSE,Buy,CASH,12,86.07,1049,,1.03,14.96
TRADE,25-NOV-2024,NSE,Buy,CASH,100,86.31,8671,,8.63,31.11
TRADE,19-NOV-2024,NSE,Buy,CASH,50,86.83,4376,,4.34,30.3
TRADE,14-NOV-2024,NSE,Buy,CASH,41,87.73,3612,,3.6,11.28
TRADE,14-NOV-2024,NSE,Buy,CASH,9,87.73,809,,0.79,19.03
CORPORATE ACTION,12-NOV-2024,DIV,Buy,CASH,12250,3,36750,Interim-Dividend of Rs.3.0000/- per share on Ex-Date: 12-NOV-2024,0,0
TRADE,16-OCT-2024,NSE,Buy,CASH,30,88.87,2677,,2.67,8.36
TRADE,16-OCT-2024,NSE,Buy,CASH,44,88.87,3926,,3.91,12.27
TRADE,16-OCT-2024,NSE,Buy,CASH,176,88.87,15706,,15.64,49.08
TRADE,08-OCT-2024,NSE,Buy,CASH,29,87.48,2547,,2.54,7.95
TRADE,08-OCT-2024,NSE,Buy,CASH,84,87.48,7379,,7.35,23.06
TRADE,08-OCT-2024,NSE,Buy,CASH,3,87.48,264,,0.26,0.83
TRADE,08-OCT-2024,NSE,Buy,CASH,67,87.48,5885,,5.86,18.39
TRADE,08-OCT-2024,NSE,Buy,CASH,67,87.48,5885,,5.86,18.39
TRADE,01-OCT-2024,NSE,Buy,CASH,100,87.74,8814,,8.77,31.15
TRADE,27-SEP-2024,NSE,Buy,CASH,33,89.66,2971,,2.96,9.28
TRADE,27-SEP-2024,NSE,Buy,CASH,45,89.66,4051,,4.03,12.66
TRADE,27-SEP-2024,NSE,Buy,CASH,45,89.66,4051,,4.03,12.66
TRADE,27-SEP-2024,NSE,Buy,CASH,3,89.66,270,,0.27,0.84
TRADE,27-SEP-2024,NSE,Buy,CASH,24,89.66,2161,,2.15,6.75
TRADE,23-SEP-2024,NSE,Buy,CASH,1,90.3,91,,0.09,0.28
TRADE,23-SEP-2024,NSE,Buy,CASH,5,90.3,453,,0.45,1.41
TRADE,23-SEP-2024,NSE,Buy,CASH,4,90.3,363,,0.36,1.12
TRADE,23-SEP-2024,NSE,Buy,CASH,3,90.3,272,,0.27,0.85
TRADE,23-SEP-2024,NSE,Buy,CASH,1,90.3,91,,0.09,0.28
TRADE,23-SEP-2024,NSE,Buy,CASH,79,90.3,7163,,7.13,22.38
TRADE,23-SEP-2024,NSE,Buy,CASH,25,90.3,2267,,2.26,7.08
TRADE,23-SEP-2024,NSE,Buy,CASH,1,90.3,91,,0.09,0.28
TRADE,23-SEP-2024,NSE,Buy,CASH,1,90.3,91,,0.09,0.28
TRADE,23-SEP-2024,NSE,Buy,CASH,1,90.3,91,,0.09,0.28
TRADE,23-SEP-2024,NSE,Buy,CASH,4,90.3,363,,0.36,1.12
TRADE,23-SEP-2024,NSE,Buy,CASH,2,90.3,181,,0.18,0.57
TRADE,23-SEP-2024,NSE,Buy,CASH,3,90.3,272,,0.27,0.85
TRADE,23-SEP-2024,NSE,Buy,CASH,3,90.3,272,,0.27,0.85
TRADE,23-SEP-2024,NSE,Buy,CASH,3,90.3,272,,0.27,0.85
TRADE,23-SEP-2024,NSE,Buy,CASH,138,90.3,12513,,12.46,39.09
TRADE,23-SEP-2024,NSE,Buy,CASH,3,90.3,272,,0.27,0.85
TRADE,23-SEP-2024,NSE,Buy,CASH,1,90.3,91,,0.09,0.28
TRADE,23-SEP-2024,NSE,Buy,CASH,2,90.3,181,,0.18,0.57
TRADE,23-SEP-2024,NSE,Buy,CASH,15,90.3,1360,,1.35,4.25
TRADE,23-SEP-2024,NSE,Buy,CASH,2,90.3,181,,0.18,0.57
TRADE,23-SEP-2024,NSE,Buy,CASH,3,90.3,272,,0.27,0.85
TRADE,20-SEP-2024,NSE,Buy,CASH,119,90.3,10790,,10.75,33.7
TRADE,20-SEP-2024,NSE,Buy,CASH,1,90.3,91,,0.09,0.28
TRADE,20-SEP-2024,NSE,Buy,CASH,6,90.3,544,,0.54,1.69
TRADE,20-SEP-2024,NSE,Buy,CASH,11,90.3,997,,0.99,3.12
TRADE,20-SEP-2024,NSE,Buy,CASH,1,90.3,91,,0.09,0.28
TRADE,20-SEP-2024,NSE,Buy,CASH,1,90.3,91,,0.09,0.28
TRADE,20-SEP-2024,NSE,Buy,CASH,30,90.3,2720,,2.71,8.49
TRADE,20-SEP-2024,NSE,Buy,CASH,76,90.3,6891,,6.86,21.54
TRADE,20-SEP-2024,NSE,Buy,CASH,3,90.3,272,,0.27,0.85
TRADE,20-SEP-2024,NSE,Buy,CASH,1,90.3,91,,0.09,0.28
TRADE,20-SEP-2024,NSE,Buy,CASH,1,90.3,91,,0.09,0.28
TRADE,17-SEP-2024,NSE,Buy,CASH,250,91.1,22869,,22.77,71.46
TRADE,11-SEP-2024,NSE,Buy,CASH,83,91.3,7609,,7.58,23.77
TRADE,11-SEP-2024,NSE,Buy,CASH,7,91.22,644,,0.64,4.58
TRADE,11-SEP-2024,NSE,Buy,CASH,8,91.22,733,,0.73,2.28
TRADE,11-SEP-2024,NSE,Buy,CASH,1,91.22,92,,0.09,0.28
TRADE,11-SEP-2024,NSE,Buy,CASH,1,91.22,92,,0.09,0.28
TRADE,06-SEP-2024,NSE,Buy,CASH,100,91,9140,,9.1,31.21
TRADE,04-SEP-2024,NSE,Buy,CASH,250,91.9,23070,,22.98,72.11
TRADE,30-AUG-2024,NSE,Buy,CASH,50,92,4635,,4.6,30.36
TRADE,27-AUG-2024,NSE,Buy,CASH,150,92.65,13955,,13.9,43.59
TRADE,19-AUG-2024,NSE,Buy,CASH,350,93.4,32825,,32.69,102.56
TRADE,16-AUG-2024,NSE,Buy,CASH,200,93.2,18717,,18.64,58.48
TRADE,07-AUG-2024,NSE,Buy,CASH,350,93.6,32895,,32.76,102.78
TRADE,06-AUG-2024,NSE,Buy,CASH,129,93.35,12092,,12.04,37.8
TRADE,06-AUG-2024,NSE,Buy,CASH,21,93.35,1968,,1.96,6.14
CORPORATE ACTION,01-AUG-2024,DIV,Buy,CASH,9000,3,27000,Interim-Dividend of Rs.3.0000/- per share on Ex-Date: 01-AUG-2024,0,0
TRADE,25-JUL-2024,NSE,Buy,CASH,3,96.02,289,,0.29,0.9
TRADE,25-JUL-2024,NSE,Buy,CASH,1,96.02,96,,0.1,0.29
TRADE,25-JUL-2024,NSE,Buy,CASH,44,96.02,4242,,4.22,13.24
TRADE,25-JUL-2024,NSE,Buy,CASH,3,96.02,289,,0.29,0.9
TRADE,25-JUL-2024,NSE,Buy,CASH,1,96.02,96,,0.1,0.29
TRADE,25-JUL-2024,NSE,Buy,CASH,58,96.02,5592,,5.57,17.48
TRADE,25-JUL-2024,NSE,Buy,CASH,1,96.02,96,,0.1,0.29
TRADE,25-JUL-2024,NSE,Buy,CASH,17,96.02,1639,,1.63,5.11
TRADE,25-JUL-2024,NSE,Buy,CASH,2,96.02,193,,0.19,0.61
TRADE,25-JUL-2024,NSE,Buy,CASH,14,96.02,1350,,1.34,4.21
TRADE,25-JUL-2024,NSE,Buy,CASH,50,96.02,4821,,4.8,15.06
TRADE,25-JUL-2024,NSE,Buy,CASH,1,96.02,96,,0.1,0.29
TRADE,25-JUL-2024,NSE,Buy,CASH,1,96.02,96,,0.1,0.29
TRADE,25-JUL-2024,NSE,Buy,CASH,1,96.02,96,,0.1,0.29
TRADE,25-JUL-2024,NSE,Buy,CASH,1,96.02,96,,0.1,0.29
TRADE,25-JUL-2024,NSE,Buy,CASH,1,96.02,96,,0.1,0.29
TRADE,25-JUL-2024,NSE,Buy,CASH,1,96.02,96,,0.1,0.29
TRADE,15-JUL-2024,NSE,Buy,CASH,771,96.04,74353,,74.05,232.31
TRADE,15-JUL-2024,NSE,Buy,CASH,1,96.04,96,,0.1,0.29
TRADE,15-JUL-2024,NSE,Buy,CASH,2,96.04,193,,0.19,0.61
TRADE,15-JUL-2024,NSE,Buy,CASH,1,96.04,96,,0.1,0.29
TRADE,15-JUL-2024,NSE,Buy,CASH,8,96.04,771,,0.77,2.41
TRADE,15-JUL-2024,NSE,Buy,CASH,1,96.04,96,,0.1,0.29
TRADE,15-JUL-2024,NSE,Buy,CASH,1,96.04,96,,0.1,0.29
