TRANSACTION TYPE,DATE,EXCHANGE / CORPORATE ACTION,ACTION,PRODUCT TYPE,QTY,TRANSACTION PRICE,VALUE AT COST(Incl. addnl charges),REMARKS,STT,ADDITIONAL CHARGES
TRADE,30-DEC-2024,NSE,Buy,CASH,4,676.77,2707,,2.67,29.99
TRADE,29-OCT-2024,NSE,Buy,CASH,6,672.71,4036,,4,30.24
TRADE,28-OCT-2024,NSE,Buy,CASH,5,674.69,3373,,3.34,30.12
TRADE,25-OCT-2024,NSE,Buy,CASH,5,698.72,3494,,3.46,30.15
TRADE,31-MAY-2024,NSE,Buy,CASH,6,699.94,4200,,4.17,30.27
CORPORATE ACTION,28-MAR-2024,DIV,Buy,CASH,314,2.5,785,Interim-Dividend of Rs.2.5000/- per share on Ex-Date: 28-MAR-2024,0,0
TRADE,13-MAR-2024,NSE,Buy,CASH,7,692.78,4849,,4.81,30.4
TRADE,07-MAR-2024,NSE,Buy,CASH,1,709.78,710,,0.71,2.22
TRADE,07-MAR-2024,NSE,Buy,CASH,6,712.31,4274,,4.24,28.2
TRADE,05-FEB-2024,NSE,Buy,CASH,13,714.62,9290,,9.25,31.24
TRADE,31-JAN-2024,NSE,Buy,CASH,7,716.81,5018,,4.98,30.43
TRADE,26-DEC-2023,NSE,Buy,CASH,10,771.81,7718,,7.68,30.94
TRADE,21-DEC-2023,NSE,Buy,CASH,15,762.04,11431,,11.38,35.71
TRADE,20-DEC-2023,NSE,Buy,CASH,1,770.18,770,,0.77,2.41
TRADE,20-DEC-2023,NSE,Buy,CASH,14,770.17,10782,,10.74,33.69
TRADE,14-DEC-2023,NSE,Buy,CASH,1,765.14,765,,0.76,2.38
TRADE,14-DEC-2023,NSE,Buy,CASH,8,765.15,6121,,6.1,19.11
TRADE,14-DEC-2023,NSE,Buy,CASH,1,765.14,765,,0.76,2.38
TRADE,14-DEC-2023,NSE,Buy,CASH,1,765.14,765,,0.76,2.38
TRADE,14-DEC-2023,NSE,Buy,CASH,1,765.14,765,,0.76,2.38
TRADE,14-DEC-2023,NSE,Buy,CASH,6,765.15,4591,,4.57,14.35
TRADE,14-DEC-2023,NSE,Buy,CASH,1,765.14,765,,0.76,2.38
TRADE,14-DEC-2023,NSE,Buy,CASH,2,765.16,1530,,1.52,4.79
TRADE,14-DEC-2023,NSE,Buy,CASH,5,765.15,3826,,3.81,11.95
TRADE,14-DEC-2023,NSE,Buy,CASH,1,765.14,765,,0.76,2.38
TRADE,14-DEC-2023,NSE,Buy,CASH,4,765.15,3061,,3.05,9.56
TRADE,14-DEC-2023,NSE,Buy,CASH,2,765.16,1530,,1.52,4.79
TRADE,14-DEC-2023,NSE,Buy,CASH,1,765.14,765,,0.76,2.38
TRADE,14-DEC-2023,NSE,Buy,CASH,1,765.14,765,,0.76,2.38
TRADE,14-DEC-2023,NSE,Buy,CASH,5,765.15,3826,,3.81,11.95
TRADE,14-DEC-2023,NSE,Buy,CASH,4,765.15,3061,,3.05,9.56
TRADE,14-DEC-2023,NSE,Buy,CASH,1,765.14,765,,0.76,2.38
TRADE,14-DEC-2023,NSE,Buy,CASH,1,765.14,765,,0.76,2.38
TRADE,14-DEC-2023,NSE,Buy,CASH,8,765.15,6121,,6.1,19.11
TRADE,14-DEC-2023,NSE,Buy,CASH,2,765.16,1530,,1.52,4.79
TRADE,14-DEC-2023,NSE,Buy,CASH,4,765.15,3061,,3.05,9.56
TRADE,11-DEC-2023,NSE,Buy,CASH,47,763.14,35868,,35.72,112.04
TRADE,05-DEC-2023,NSE,Buy,CASH,133,753.1,100163,,99.75,312.94
