TRANSACTION TYPE,DATE,EXCHANGE / CORPORATE ACTION,ACTION,PRODUCT TYPE,QTY,TRANSACTION PRICE,VALUE AT COST(Incl. addnl charges),REMARKS,STT,ADDITIONAL CHARGES
TRADE,10-JAN-2025,NSE,Buy,CASH,10,360.35,3637,,3.6,30.17
TRADE,09-JAN-2025,NSE,Buy,CASH,12,368.65,4459,,4.43,30.33
TRADE,09-JAN-2025,NSE,Buy,CASH,10,369.4,3728,,3.69,30.18
TRADE,30-DEC-2024,NSE,Buy,CASH,5,392.95,1997,,1.96,29.86
TRADE,18-DEC-2024,NSE,Buy,CASH,7,418,2959,,2.93,30.05
TRADE,26-NOV-2024,NSE,Buy,CASH,8,410.25,3313,,3.28,27.69
TRADE,26-NOV-2024,NSE,Buy,CASH,2,410.25,824,,0.82,2.58
TRADE,12-NOV-2024,NSE,Buy,CASH,10,416.95,4204,,4.17,30.28
TRADE,08-NOV-2024,NSE,Buy,CASH,10,433.4,4369,,4.33,30.3
TRADE,25-OCT-2024,NSE,Buy,CASH,10,420.5,4239,,4.21,30.28
TRADE,11-OCT-2024,NSE,Buy,CASH,10,460.65,4641,,4.61,30.36
TRADE,08-OCT-2024,NSE,Buy,CASH,15,459.75,6934,,6.9,30.79
TRADE,27-SEP-2024,NSE,Sell,CASH,20,493.25,9825,,9.87,29.86
TRADE,07-AUG-2024,NSE,Buy,CASH,25,434,10895,,10.85,34.04
TRADE,01-AUG-2024,NSE,Sell,CASH,25,460.2,11459,,11.51,34.39
TRADE,26-JUL-2024,NSE,Sell,CASH,15,444.2,6627,,6.66,29.75
TRADE,19-JUL-2024,NSE,Buy,CASH,16,415,6672,,6.64,25.85
TRADE,19-JUL-2024,NSE,Buy,CASH,4,415,1667,,1.66,5.21
CORPORATE ACTION,04-JUL-2024,DIV,Buy,CASH,3000,2,6000,Annual-Dividend of Rs.2.0000/- per share on Ex-Date: 04-JUL-2024,0,0
TRADE,28-MAY-2024,NSE,Sell,CASH,20,442.45,8810,,8.85,29.83
TRADE,09-MAY-2024,NSE,Buy,CASH,10,419.4,4228,,4.19,30.27
TRADE,06-MAY-2024,NSE,Buy,CASH,10,449,4525,,4.49,30.34
TRADE,03-MAY-2024,NSE,Sell,CASH,25,463.1,11531,,11.58,34.58
TRADE,13-MAR-2024,NSE,Buy,CASH,25,374,9391,,9.35,31.25
TRADE,12-MAR-2024,NSE,Buy,CASH,25,399.95,10040,,10,31.38
TRADE,11-MAR-2024,NSE,Sell,CASH,50,409.55,20396,,20.48,61.16
TRADE,28-FEB-2024,NSE,Buy,CASH,25,377,9466,,9.43,31.26
TRADE,12-FEB-2024,NSE,Buy,CASH,50,370,18577,,18.5,58.05
TRADE,07-FEB-2024,NSE,Sell,CASH,100,397.6,39602,,39.76,118.79
TRADE,20-DEC-2023,NSE,Buy,CASH,50,322.4,16187,,16.12,50.58
TRADE,11-DEC-2023,NSE,Sell,CASH,150,331.1,49467,,49.66,148.33
TRADE,26-OCT-2023,NSE,Buy,CASH,50,233.7,11733,,11.69,36.64
TRADE,23-OCT-2023,NSE,Buy,CASH,50,239.25,12012,,11.96,37.51
TRADE,20-JUL-2023,NSE,Buy,CASH,50,218.45,10968,,10.92,34.27
TRADE,17-JUL-2023,NSE,Buy,CASH,50,222.7,11181,,11.13,34.92
CORPORATE ACTION,07-JUN-2023,DIV,Buy,CASH,2950,2,5900,Annual-Dividend of Rs.2.0000/- per share on Ex-Date: 07-JUN-2023,0,0
TRADE,09-MAY-2023,NSE,Buy,CASH,50,203.45,10215,,10.17,31.93
TRADE,28-MAR-2023,NSE,Buy,CASH,37,184.05,6838,,6.81,21.37
TRADE,28-MAR-2023,NSE,Buy,CASH,13,184.05,2405,,2.39,9.87
TRADE,27-MAR-2023,NSE,Buy,CASH,35,191.2,6720,,6.69,21
TRADE,27-MAR-2023,NSE,Buy,CASH,65,191.2,12479,,12.43,39
TRADE,28-FEB-2023,NSE,Buy,CASH,50,200.15,10049,,10.01,31.41
TRADE,07-FEB-2023,NSE,Buy,CASH,50,206.2,10353,,10.31,32.38
TRADE,26-DEC-2022,NSE,Buy,CASH,60,201.5,12140,,12.09,37.95
TRADE,22-DEC-2022,NSE,Buy,CASH,50,208.8,10483,,10.44,32.77
TRADE,06-DEC-2022,NSE,Buy,CASH,22,228.3,5046,,5.02,18.34
TRADE,06-DEC-2022,NSE,Buy,CASH,18,228.3,4126,,4.11,12.91
TRADE,23-NOV-2022,NSE,Buy,CASH,35,221.7,7798,,7.76,30.97
TRADE,16-NOV-2022,NSE,Buy,CASH,50,226.8,11387,,11.34,35.58
TRADE,02-NOV-2022,NSE,Buy,CASH,95,228.6,21807,,21.72,68.21
TRADE,31-OCT-2022,NSE,Buy,CASH,35,226.7,7973,,7.93,31
TRADE,17-OCT-2022,NSE,Buy,CASH,50,216,10845,,10.8,33.9
TRADE,04-OCT-2022,NSE,Buy,CASH,5,217.7,1093,,1.09,3.42
TRADE,04-OCT-2022,NSE,Buy,CASH,5,217.7,1093,,1.09,3.42
TRADE,04-OCT-2022,NSE,Buy,CASH,45,217.7,9837,,9.8,30.77
TRADE,21-SEP-2022,NSE,Buy,CASH,40,233.55,9381,,9.34,29.32
TRADE,21-SEP-2022,NSE,Buy,CASH,10,233.55,2345,,2.34,7.32
TRADE,10-AUG-2022,NSE,Buy,CASH,75,228.7,17224,,17.15,53.85
TRADE,29-JUL-2022,NSE,Buy,CASH,30,220.2,6643,,6.61,30.75
TRADE,20-JUN-2022,NSE,Buy,CASH,25,190.95,4809,,4.92,30.41
TRADE,20-JUN-2022,NSE,Buy,CASH,25,202.8,5105,,4.92,30.46
TRADE,16-JUN-2022,NSE,Buy,CASH,5,213.1,1070,,1.07,3.34
TRADE,16-JUN-2022,NSE,Buy,CASH,70,213.1,14979,,14.92,46.82
CORPORATE ACTION,15-JUN-2022,DIV,Buy,CASH,1900,1.75,3325,Annual-Dividend of Rs.1.7500/- per share on Ex-Date: 15-JUN-2022,0,0
TRADE,26-MAY-2022,NSE,Buy,CASH,50,216.55,10872,,10.83,33.98
TRADE,23-MAY-2022,NSE,Buy,CASH,60,234.95,14155,,14.1,44.23
TRADE,17-MAY-2022,NSE,Buy,CASH,40,228.5,9180,,9.14,31.23
TRADE,29-APR-2022,NSE,Buy,CASH,50,249.8,12542,,12.49,39.2
TRADE,07-MAR-2022,NSE,Buy,CASH,100,217.3,21820,,21.73,68.26
TRADE,07-JAN-2022,NSE,Buy,CASH,100,228.75,22970,,22.88,71.84
TRADE,17-DEC-2021,NSE,Buy,CASH,50,215.6,10825,,10.78,33.84
TRADE,29-OCT-2021,NSE,Buy,CASH,100,212,21288,,21.2,66.54
TRADE,20-SEP-2021,NSE,Buy,CASH,200,136.55,27423,,27.31,85.76
TRADE,20-AUG-2021,NSE,Buy,CASH,30,127.8,3850,,3.83,12.04
TRADE,20-AUG-2021,NSE,Buy,CASH,70,127.8,8983,,8.95,28.09
TRADE,22-JUL-2021,NSE,Buy,CASH,100,122.8,12331,,12.28,38.54
TRADE,19-JUL-2021,NSE,Buy,CASH,110,127.35,14066,,14.01,43.97
TRADE,19-JUL-2021,NSE,Buy,CASH,40,127.35,5115,,5.09,15.99
TRADE,06-JUL-2021,NSE,Buy,CASH,150,123.25,18564,,18.49,58.05
TRADE,02-JUL-2021,NSE,Buy,CASH,150,121.1,18240,,18.16,57.05
TRADE,01-JUL-2021,NSE,Buy,CASH,100,122.3,12281,,12.23,38.42
TRADE,24-JUN-2021,NSE,Buy,CASH,100,119.7,12020,,11.97,37.58
CORPORATE ACTION,17-JUN-2021,DIV,Buy,CASH,300,1.55,465,Annual-Dividend of Rs.1.5500/- per share on Ex-Date: 17-JUN-2021,0,0
TRADE,14-JUN-2021,NSE,Buy,CASH,25,119.75,3006,,2.99,9.4
TRADE,14-JUN-2021,NSE,Buy,CASH,25,119.75,3018,,2.99,21.24
TRADE,03-JUN-2021,NSE,Buy,CASH,50,108.55,5463,,5.43,30.52
TRADE,28-MAY-2021,NSE,Buy,CASH,50,105.45,5308,,5.27,30.49
TRADE,27-MAY-2021,NSE,Buy,CASH,50,106.25,5348,,5.31,30.5
TRADE,21-MAY-2021,NSE,Buy,CASH,29,104,3028,,3.02,9.47
TRADE,21-MAY-2021,NSE,Buy,CASH,71,104,7415,,7.38,23.17
