symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
MANAPPURAM,INE522D01027,2024-01-01,NSE,EQ,EQ,buy,false,55.000000,173.100000,42053483,1200000011121924,2024-01-01T10:33:56
MANAPPURAM,INE522D01027,2024-01-01,NSE,EQ,EQ,buy,false,10.000000,171.050000,46287021,1200000035109244,2024-01-01T15:15:14
MANAPPURAM,INE522D01027,2024-01-02,NSE,EQ,EQ,buy,false,25.000000,169.800000,42846622,1200000013603682,2024-01-02T10:32:21
MANAPPURAM,INE522D01027,2024-01-10,BSE,EQ,A,buy,false,55.000000,167.200000,3957800,1704857400224644383,2024-01-10T09:35:52
MANAPPURAM,INE522D01027,2024-01-10,BSE,EQ,A,buy,false,50.000000,166.850000,4268900,1704857400224692146,2024-01-10T09:39:53
MANAPPURAM,INE522D01027,2024-01-15,BSE,EQ,A,buy,false,60.000000,171.800000,3446700,1705293497857096801,2024-01-15T10:14:55
MANAPPURAM,INE522D01027,2024-01-18,BSE,EQ,A,buy,false,15.000000,168.650000,6199100,1705551598658318278,2024-01-18T10:01:30
MANAPPURAM,INE522D01027,2024-02-09,NSE,EQ,EQ,buy,false,25.000000,181.100000,47814652,1200000032929710,2024-02-09T11:58:59
MANAPPURAM,INE522D01027,2024-05-08,NSE,EQ,EQ,buy,false,60.000000,183.500000,47786071,1200000048179610,2024-05-08T15:04:45
MANAPPURAM,INE522D01027,2024-05-09,BSE,EQ,A,buy,false,100.000000,171.000000,4098800,1715228540174112198,2024-05-09T10:00:30
MANAPPURAM,INE522D01027,2024-05-09,BSE,EQ,A,buy,false,25.000000,167.650000,6348500,1715228540174837654,2024-05-09T10:46:27
MANAPPURAM,INE522D01027,2024-05-27,BSE,EQ,A,buy,false,25.000000,175.100000,9293700,1716790016553333695,2024-05-27T12:11:41
MANAPPURAM,INE522D01027,2024-05-29,NSE,EQ,EQ,buy,false,25.000000,171.950000,47156917,1200000042055077,2024-05-29T15:02:47
MANAPPURAM,INE522D01027,2024-05-30,BSE,EQ,A,buy,false,25.000000,168.550000,8831600,1717055414484095832,2024-05-30T13:27:36
MANAPPURAM,INE522D01027,2024-06-04,NSE,EQ,EQ,buy,false,25.000000,167.400000,44238575,1200000018384876,2024-06-04T10:13:13
MANAPPURAM,INE522D01027,2024-06-04,NSE,EQ,EQ,buy,false,5.000000,163.850000,46373432,1200000029449035,2024-06-04T11:03:04
MANAPPURAM,INE522D01027,2024-06-04,NSE,EQ,EQ,buy,false,20.000000,163.800000,46373431,1200000029449035,2024-06-04T11:03:04
MANAPPURAM,INE522D01027,2024-06-04,NSE,EQ,EQ,buy,false,25.000000,162.150000,46687211,1200000030697145,2024-06-04T11:07:37
MANAPPURAM,INE522D01027,2024-06-05,BSE,EQ,A,buy,false,50.000000,167.300000,10788900,1717563371928399379,2024-06-05T10:57:07
MANAPPURAM,INE522D01027,2024-07-23,NSE,EQ,EQ,buy,false,19.000000,205.940000,412037720,1200000067788889,2024-07-23T14:09:33
MANAPPURAM,INE522D01027,2024-07-23,NSE,EQ,EQ,buy,false,6.000000,205.950000,412037721,1200000067788889,2024-07-23T14:09:33
MANAPPURAM,INE522D01027,2024-08-05,BSE,EQ,A,buy,false,50.000000,201.850000,34119600,1722843448720654233,2024-08-05T14:02:36
MANAPPURAM,INE522D01027,2024-08-14,BSE,EQ,A,buy,false,30.000000,200.850000,6961600,1723612186436738219,2024-08-14T11:18:42
MANAPPURAM,INE522D01027,2024-10-04,BSE,EQ,A,buy,false,70.000000,189.600000,17205800,1728030567189007678,2024-10-04T14:10:32
MANAPPURAM,INE522D01027,2024-10-07,BSE,EQ,A,buy,false,50.000000,188.600000,2564400,1728274573136099508,2024-10-07T09:50:38
MANAPPURAM,INE522D01027,2024-10-11,NSE,EQ,EQ,buy,false,25.000000,186.000000,404610812,1200000029668732,2024-10-11T13:01:38
MANAPPURAM,INE522D01027,2024-10-17,BSE,EQ,A,buy,false,50.000000,179.600000,1758100,1729135800232888822,2024-10-17T09:40:43
MANAPPURAM,INE522D01027,2024-10-18,BSE,EQ,A,buy,false,135.000000,150.800000,3146200,1729222200011687790,2024-10-18T09:33:26
MANAPPURAM,INE522D01027,2024-10-22,BSE,EQ,A,buy,false,40.000000,144.800000,1524500,1729567800112722893,2024-10-22T09:32:17
MANAPPURAM,INE522D01027,2024-10-24,BSE,EQ,A,buy,false,50.000000,146.300000,601100,1729740600006195786,2024-10-24T09:19:36
MANAPPURAM,INE522D01027,2024-10-31,NSE,EQ,EQ,buy,false,50.000000,157.590000,409757102,1200000058389021,2024-10-31T15:29:12
MANAPPURAM,INE522D01027,2024-11-27,NSE,EQ,EQ,buy,false,20.000000,154.200000,403788443,1200000025056384,2024-11-27T11:20:18
MANAPPURAM,INE522D01027,2024-12-02,NSE,EQ,EQ,buy,false,20.000000,156.700000,402058781,1200000012241403,2024-12-02T09:57:29
