symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,20.000000,96.050000,67500,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,66100,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,66300,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,66500,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,66700,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,66900,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,67100,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,67300,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,400.000000,96.050000,62000,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,62100,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,62300,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,62500,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,62700,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,62900,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,63100,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,63300,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,63500,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,63700,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,63900,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,64100,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,64300,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,64500,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,64700,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,64900,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,65100,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,65300,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,65500,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,65700,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IF,INE0GGX23010,2024-06-21,BSE,EQ,IF,buy,false,100.000000,96.050000,65900,1718940600211005447,2024-06-21T09:35:22
PGINVIT-IV,INE0GGX23010,2024-07-02,NSE,EQ,IV,buy,false,520.000000,95.850000,51253540,1200000016409711,2024-07-02T10:18:19
PGINVIT-IF,INE0GGX23010,2024-07-04,BSE,EQ,IF,buy,false,92.000000,96.120000,64400,1720063800265000677,2024-07-04T09:36:48
PGINVIT-IF,INE0GGX23010,2024-07-04,BSE,EQ,IF,buy,false,25.000000,96.120000,75700,1720063800265000677,2024-07-04T09:43:15
PGINVIT-IF,INE0GGX23010,2024-07-04,BSE,EQ,IF,buy,false,200.000000,96.120000,75900,1720063800265000677,2024-07-04T09:43:15
PGINVIT-IF,INE0GGX23010,2024-07-04,BSE,EQ,IF,buy,false,43.000000,96.120000,76100,1720063800265000677,2024-07-04T09:43:15
PGINVIT-IF,INE0GGX23010,2024-07-10,BSE,EQ,IF,buy,false,520.000000,96.000000,62700,1720582200050002528,2024-07-10T09:38:38
PGINVIT-IV,INE0GGX23010,2024-07-18,NSE,EQ,IV,buy,false,158.000000,95.770000,402818322,1200000012731897,2024-07-18T09:50:06
PGINVIT-IV,INE0GGX23010,2024-07-18,NSE,EQ,IV,buy,false,47.000000,95.790000,402908022,1200000012731897,2024-07-18T09:50:06
PGINVIT-IV,INE0GGX23010,2024-07-18,NSE,EQ,IV,buy,false,209.000000,95.790000,402915959,1200000012731897,2024-07-18T09:50:06
PGINVIT-IV,INE0GGX23010,2024-07-18,NSE,EQ,IV,buy,false,208.000000,95.790000,402940651,1200000012731897,2024-07-18T09:50:06
PGINVIT-IV,INE0GGX23010,2024-07-18,NSE,EQ,IV,buy,false,153.000000,95.790000,402997033,1200000012731897,2024-07-18T09:50:06
PGINVIT-IV,INE0GGX23010,2024-07-18,NSE,EQ,IV,buy,false,250.000000,95.790000,403002783,1200000012731897,2024-07-18T09:50:06
PGINVIT-IV,INE0GGX23010,2024-07-18,NSE,EQ,IV,buy,false,25.000000,95.790000,403019389,1200000012731897,2024-07-18T09:50:06
PGINVIT-IV,INE0GGX23010,2024-07-23,NSE,EQ,IV,buy,false,524.000000,95.940000,405732140,1200000035756560,2024-07-23T12:11:42
PGINVIT-IV,INE0GGX23010,2024-07-23,NSE,EQ,IV,buy,false,90.000000,95.940000,405732141,1200000035756560,2024-07-23T12:11:42
PGINVIT-IV,INE0GGX23010,2024-07-23,NSE,EQ,IV,buy,false,7.000000,95.940000,405732142,1200000035756560,2024-07-23T12:11:42
PGINVIT-IV,INE0GGX23010,2024-07-23,NSE,EQ,IV,buy,false,379.000000,95.940000,405732143,1200000035756560,2024-07-23T12:11:42
PGINVIT-IF,INE0GGX23010,2024-08-05,BSE,EQ,IF,buy,false,130.000000,93.480000,1947900,1722828600032075697,2024-08-05T14:02:59
PGINVIT-IF,INE0GGX23010,2024-08-08,BSE,EQ,IF,buy,false,300.000000,93.700000,237600,1723087800262013139,2024-08-08T11:14:10
PGINVIT-IV,INE0GGX23010,2024-08-12,NSE,EQ,IV,buy,false,500.000000,93.440000,407542209,1200000040412927,2024-08-12T12:39:34
PGINVIT-IF,INE0GGX23010,2024-08-14,BSE,EQ,IF,buy,false,301.000000,93.650000,258200,1723606200066016399,2024-08-14T11:16:14
PGINVIT-IF,INE0GGX23010,2024-08-14,BSE,EQ,IF,buy,false,199.000000,93.650000,254100,1723606200066016399,2024-08-14T11:16:14
PGINVIT-IF,INE0GGX23010,2024-08-16,BSE,EQ,IF,buy,false,200.000000,93.250000,910900,1723779000030053922,2024-08-16T14:10:09
PGINVIT-IV,INE0GGX23010,2024-08-19,NSE,EQ,IV,buy,false,31.000000,93.400000,401539586,1200000007239159,2024-08-19T09:35:05
PGINVIT-IV,INE0GGX23010,2024-08-19,NSE,EQ,IV,buy,false,200.000000,93.400000,401539587,1200000007239159,2024-08-19T09:35:05
PGINVIT-IV,INE0GGX23010,2024-08-19,NSE,EQ,IV,buy,false,69.000000,93.400000,401539588,1200000007239159,2024-08-19T09:35:05
PGINVIT-IV,INE0GGX23010,2024-08-28,NSE,EQ,IV,buy,false,100.000000,92.240000,407943269,1200000045003519,2024-08-28T14:07:50
PGINVIT-IF,INE0GGX23010,2024-09-20,BSE,EQ,IF,buy,false,100.000000,90.350000,409400,1726803000079028021,2024-09-20T11:25:51
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,1.000000,90.290000,458100,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,4.000000,90.290000,458300,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,2.000000,90.290000,472700,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,8.000000,90.290000,472900,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,2.000000,90.290000,473100,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,8.000000,90.290000,473300,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,3.000000,90.290000,477200,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,10.000000,90.290000,477400,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,25.000000,90.290000,477600,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,2.000000,90.290000,474000,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,7.000000,90.290000,474200,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,2.000000,90.290000,474400,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,7.000000,90.290000,474600,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,8.000000,90.290000,477800,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,2.000000,90.290000,478000,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,2.000000,90.290000,478200,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,8.000000,90.290000,478400,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,1.000000,90.290000,480600,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,5.000000,90.290000,480800,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,1.000000,90.290000,481000,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,5.000000,90.290000,481200,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,2.000000,90.290000,475200,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,7.000000,90.290000,475400,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,2.000000,90.290000,475600,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,7.000000,90.290000,475800,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,6.000000,90.290000,476800,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,6.000000,90.290000,477000,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,2.000000,90.290000,476400,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,6.000000,90.290000,476600,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,1.000000,90.290000,478800,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,5.000000,90.290000,479000,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,1.000000,90.290000,479200,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,5.000000,90.290000,479400,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-09-23,BSE,EQ,IF,buy,false,37.000000,90.290000,481400,1727062200011049553,2024-09-23T11:13:09
PGINVIT-IF,INE0GGX23010,2024-11-13,BSE,EQ,IF,buy,false,50.000000,88.000000,921700,1731468600025053133,2024-11-13T13:26:49
PGINVIT-IF,INE0GGX23010,2024-11-25,BSE,EQ,IF,buy,false,50.000000,86.290000,1732700,1732505400265151610,2024-11-25T14:08:59
PGINVIT-IF,INE0GGX23010,2024-11-28,BSE,EQ,IF,buy,false,1.000000,86.260000,1164600,1732764600171143292,2024-11-28T13:46:00
PGINVIT-IF,INE0GGX23010,2024-11-28,BSE,EQ,IF,buy,false,2.000000,86.260000,1165000,1732764600171143292,2024-11-28T13:46:00
PGINVIT-IF,INE0GGX23010,2024-11-28,BSE,EQ,IF,buy,false,2.000000,86.260000,1164400,1732764600171143292,2024-11-28T13:46:00
PGINVIT-IF,INE0GGX23010,2024-11-28,BSE,EQ,IF,buy,false,11.000000,86.260000,1164800,1732764600171143292,2024-11-28T13:46:00
PGINVIT-IF,INE0GGX23010,2024-11-28,BSE,EQ,IF,buy,false,19.000000,86.260000,1168600,1732764600171143292,2024-11-28T13:46:00
