symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
CLEAN,INE227W01023,2023-10-13,NSE,EQ,EQ,buy,false,10.000000,1395.000000,3261133,1000000022334014,2023-10-13T14:04:40
CLEAN,INE227W01023,2023-10-13,NSE,EQ,EQ,buy,false,35.000000,1395.000000,3284858,1000000022334014,2023-10-13T14:06:48
CLEAN,INE227W01023,2023-10-13,NSE,EQ,EQ,buy,false,8.000000,1396.800000,3297235,1000000022334014,2023-10-13T14:07:58
CLEAN,INE227W01023,2023-10-13,NSE,EQ,EQ,buy,false,2.000000,1396.800000,3297236,1000000022334014,2023-10-13T14:07:58
CLEAN,INE227W01023,2023-10-16,BSE,EQ,A,buy,false,2.000000,1381.100000,105644800,1697447683930029165,2023-10-16T14:46:58
CLEAN,INE227W01023,2023-10-23,BSE,EQ,A,buy,false,8.000000,1351.650000,52939500,1698037409572384464,2023-10-23T10:38:03
CLEAN,INE227W01023,2023-10-25,BSE,EQ,A,buy,false,1.000000,1330.000000,128373900,1698224330392885479,2023-10-25T14:51:26
CLEAN,INE227W01023,2023-10-25,BSE,EQ,A,buy,false,2.000000,1330.950000,128612600,1698224330392885479,2023-10-25T14:52:19
CLEAN,INE227W01023,2023-10-26,BSE,EQ,A,buy,false,2.000000,1316.100000,126372500,1698309554920541433,2023-10-26T14:16:42
CLEAN,INE227W01023,2023-10-26,BSE,EQ,A,buy,false,2.000000,1316.150000,126372700,1698309554920541433,2023-10-26T14:16:42
CLEAN,INE227W01023,2023-10-26,BSE,EQ,A,buy,false,4.000000,1315.400000,132420100,1698310752487321426,2023-10-26T14:34:39
CLEAN,INE227W01023,2023-10-30,BSE,EQ,A,buy,false,2.000000,1306.300000,99723800,1698659015374064817,2023-10-30T15:15:12
CLEAN,INE227W01023,2023-12-19,BSE,EQ,A,buy,false,1.000000,1510.500000,110190800,1702969561538453895,2023-12-19T12:46:33
CLEAN,INE227W01023,2023-12-19,BSE,EQ,A,buy,false,2.000000,1513.700000,125333800,1702973011332833666,2023-12-19T13:45:44
CLEAN,INE227W01023,2023-12-20,NSE,EQ,EQ,buy,false,3.000000,1449.950000,7417481,1000000041682732,2023-12-20T15:00:15
