Stock,BuyQty,BuyAmount,SellQty,SellAmount,BalanceQty,,,
Paypal Holdings Inc.,33.53,3683.66,9,674.21,24.53,,109.8616165,74.91222222
Novo Nordisk A/s,27.08,1976.47,0,0,27.08,,,
Accenture Plc,1.5,361.59,1.5,397.77,0,,,
Coinbase Global Inc,18.2,3964.38,8.18,3260.74,10.02,,,
Alphabet Inc. - Class A Shares,1,246.02,1,283.84,0,,,
Salesforce Inc,1,242.21,1,266.71,0,,,
Amazon.com Inc.,0.64,1928.18,12.71,2284.68,-12.07,,,
Kyndryl Holdings Inc,36.64,535.73,37.43,604.85,-0.78,,,
International Business Machines Corp.,5.08,703.08,5.08,711.56,0,,,
Coca-cola Company The,7.17,400,7.17,430.42,0,,,
Apple Inc.,2.81,396.37,2.81,435.96,0,,,
